time,gFx,gFy,gFz,TgF
0.003207308,-0.0276,0.0002,1.0178,1.018
0.0036615,-0.0320,-0.0002,1.0239,1.024
0.003919,-0.0344,-0.0012,1.0256,1.026
0.004159385,-0.0371,-0.0012,1.0273,1.028
0.004387116,-0.0374,-0.0020,1.0280,1.029
0.005042731,-0.0337,-0.0029,1.0285,1.029
0.006966847,-0.0320,-0.0007,1.0261,1.027
0.008946808,-0.0286,-0.0002,1.0234,1.024
0.011523347,-0.0225,0.0042,1.0146,1.015
0.013563808,-0.0257,0.0059,1.0092,1.010
0.014937039,-0.0271,0.0054,1.0058,1.006
0.017049308,-0.0320,0.0064,1.0019,1.002
0.019218385,-0.0342,0.0064,1.0002,1.001
0.020888039,-0.0374,0.0071,0.9951,0.996
0.022838077,-0.0415,0.0071,0.9924,0.993
0.024688847,-0.0415,0.0066,0.9924,0.993
0.029194577,-0.0398,0.0064,0.9926,0.993
0.029738347,-0.0384,0.0037,0.9919,0.993
0.03072877,-0.0362,0.0029,0.9916,0.992
0.032813847,-0.0320,0.0020,0.9938,0.994
0.034790193,-0.0300,0.0010,0.9953,0.996
0.036640347,-0.0269,-0.0015,0.9955,0.996
0.039126308,-0.0276,-0.0022,0.9958,0.996
0.040528385,-0.0266,-0.0015,0.9960,0.996
0.042496731,-0.0257,-0.0005,0.9965,0.997
0.046903693,-0.0247,-0.0029,0.9924,0.993
0.047558039,-0.0249,-0.0029,0.9904,0.991
0.048758231,-0.0249,-0.0005,0.9850,0.985
0.050385847,-0.0259,-0.0007,0.9806,0.981
0.052515077,-0.0286,0.0017,0.9750,0.975
0.054414116,-0.0279,0.0017,0.9709,0.971
0.0564445,-0.0276,0.0022,0.9701,0.971
0.058432731,-0.0281,0.0027,0.9704,0.971
0.06139627,-0.0271,0.0034,0.9753,0.976
0.062135808,-0.0259,0.0037,0.9784,0.979
0.064235385,-0.0257,0.0054,0.9885,0.989
0.066339654,-0.0235,0.0064,0.9982,0.999
0.068326693,-0.0222,0.0068,1.0017,1.002
0.0708205,-0.0230,0.0064,1.0105,1.011
0.072111923,-0.0247,0.0066,1.0139,1.014
0.074103077,-0.0261,0.0068,1.0168,1.017
0.07620677,-0.0259,0.0061,1.0202,1.021
0.078190346,-0.0252,0.0056,1.0212,1.022
0.080735385,-0.0261,0.0037,1.0236,1.024
0.082117039,-0.0269,0.0022,1.0305,1.031
0.084357693,-0.0269,0.0012,1.0334,1.034
0.086087616,-0.0266,-0.0007,1.0398,1.040
0.088072077,-0.0257,-0.0010,1.0429,1.043
0.089993577,-0.0252,-0.0017,1.0449,1.045
0.092076962,-0.0242,-0.0039,1.0471,1.047
0.103161539,-0.0225,-0.0046,1.0454,1.046
0.103767039,-0.0217,-0.0039,1.0381,1.038
0.104074193,-0.0222,-0.0054,1.0266,1.027
0.104342,-0.0217,-0.0056,1.0188,1.019
