time,gFx,gFy,gFz,TgF
0.002758423,0.0105,-0.0366,0.9933,0.994
0.003189615,0.0110,-0.0371,0.9938,0.995
0.003445731,0.0110,-0.0374,0.9943,0.995
0.003672692,0.0100,-0.0384,0.9953,0.996
0.003904846,0.0105,-0.0381,0.9953,0.996
0.004135962,0.0100,-0.0388,0.9955,0.996
0.004373654,0.0105,-0.0381,0.9958,0.997
0.007787308,0.0107,-0.0376,0.9941,0.995
0.008231385,0.0110,-0.0386,0.9955,0.996
0.012151692,0.0107,-0.0396,0.9951,0.996
0.012633231,0.0088,-0.0388,0.9963,0.997
0.013431154,0.0105,-0.0371,0.9963,0.997
0.015287346,0.0115,-0.0374,0.9965,0.997
0.017263923,0.0112,-0.0391,0.9965,0.997
0.019190885,0.0105,-0.0388,0.9973,0.998
0.021248,0.0107,-0.0371,0.9938,0.995
0.023113269,0.0112,-0.0379,0.9938,0.995
0.025080423,0.0107,-0.0384,0.9946,0.995
0.029663692,0.0105,-0.0384,0.9955,0.996
0.030193192,0.0115,-0.0396,0.9943,0.995
0.033182692,0.0115,-0.0396,0.9933,0.994
0.035414039,0.0112,-0.0384,0.9948,0.996
0.035713731,0.0112,-0.0381,0.9948,0.996
0.036989385,0.0110,-0.0381,0.9958,0.997
0.038985577,0.0115,-0.0366,0.9948,0.996
0.040952115,0.0110,-0.0364,0.9943,0.995
0.044052577,0.0105,-0.0371,0.9946,0.995
0.045163192,0.0100,-0.0391,0.9946,0.995
0.046879,0.0110,-0.0396,0.9951,0.996
0.048866615,0.0122,-0.0381,0.9968,0.998
0.051067423,0.0115,-0.0376,0.9948,0.996
0.052824346,0.0110,-0.0379,0.9933,0.994
0.054763923,0.0107,-0.0379,0.9941,0.995
0.056733615,0.0120,-0.0376,0.9936,0.994
0.0587735,0.0120,-0.0384,0.9936,0.994
0.060881962,0.0120,-0.0359,0.9936,0.994
0.062699231,0.0120,-0.0359,0.9941,0.995
0.064768731,0.0110,-0.0364,0.9929,0.994
0.066783,0.0098,-0.0362,0.9926,0.993
0.068645154,0.0081,-0.0369,0.9929,0.994
0.070692654,0.0112,-0.0379,0.9933,0.994
0.072610539,0.0125,-0.0381,0.9926,0.993
0.074570846,0.0107,-0.0379,0.9926,0.993
0.077115885,0.0105,-0.0374,0.9921,0.993
