time,gFx,gFy,gFz,TgF
0.004471346,-0.1292,-0.0340,0.9535,0.963
0.005059615,-0.1307,-0.0364,0.9594,0.969
0.005336692,-0.1341,-0.0362,0.9657,0.976
0.005595654,-0.1356,-0.0371,0.9699,0.980
0.005842846,-0.1388,-0.0384,0.9767,0.987
0.006089269,-0.1412,-0.0406,0.9826,0.994
0.00634473,-0.1439,-0.0406,0.9855,0.997
0.007573038,-0.1471,-0.0408,0.9899,1.002
0.012594154,-0.1478,-0.0418,0.9924,1.004
0.01323623,-0.1490,-0.0425,0.9973,1.009
0.013562077,-0.1537,-0.0418,0.9975,1.010
0.015427846,-0.1554,-0.0415,0.9970,1.010
0.0174065,-0.1578,-0.0423,1.0007,1.014
0.019588038,-0.1583,-0.0425,1.0007,1.014
0.02130273,-0.1593,-0.0445,1.0021,1.016
0.023211538,-0.1617,-0.0447,1.0034,1.017
0.025188077,-0.1617,-0.0445,1.0039,1.018
0.027217423,-0.1617,-0.0437,1.0024,1.016
0.0291505,-0.1617,-0.0447,1.0019,1.016
0.031010884,-0.1605,-0.0454,0.9999,1.014
0.033100269,-0.1625,-0.0430,0.9963,1.010
0.034877307,-0.1615,-0.0430,0.9953,1.009
0.03687723,-0.1615,-0.0445,0.9931,1.007
0.038783807,-0.1590,-0.0437,0.9890,1.003
0.040824923,-0.1593,-0.0413,0.9877,1.001
0.052056769,-0.1578,-0.0388,0.9860,0.999
0.052551961,-0.1568,-0.0386,0.9848,0.998
0.052838538,-0.1554,-0.0381,0.9848,0.998
0.053079038,-0.1532,-0.0369,0.9848,0.997
0.053325269,-0.1529,-0.0366,0.9833,0.996
0.0535625,-0.1505,-0.0364,0.9841,0.996
0.05583323,-0.1502,-0.0366,0.9841,0.996
0.056601346,-0.1483,-0.0359,0.9819,0.994
0.058513807,-0.1451,-0.0359,0.9831,0.994
0.060896423,-0.1434,-0.0352,0.9826,0.994
0.0626,-0.1449,-0.0347,0.9809,0.992
0.064825153,-0.1449,-0.0344,0.9831,0.994
0.066535461,-0.1432,-0.0342,0.9828,0.994
0.068537538,-0.1427,-0.0349,0.9806,0.992
0.070776538,-0.1422,-0.0344,0.9814,0.992
0.072632846,-0.1429,-0.0322,0.9833,0.994
0.074406884,-0.1419,-0.0310,0.9821,0.993
0.080188307,-0.1424,-0.0298,0.9828,0.994
0.080840192,-0.1444,-0.0274,0.9821,0.993
0.08117,-0.1444,-0.0274,0.9828,0.994
0.0823045,-0.1434,-0.0269,0.9843,0.995
0.084358653,-0.1432,-0.0254,0.9868,0.997
0.0862435,-0.1444,-0.0252,0.9868,0.998
0.088285346,-0.1463,-0.0252,0.9863,0.997
0.090159269,-0.1485,-0.0259,0.9858,0.997
0.092139115,-0.1493,-0.0259,0.9846,0.996
0.094216653,-0.1524,-0.0239,0.9848,0.997
0.096213,-0.1537,-0.0244,0.9853,0.997
0.098155423,-0.1549,-0.0244,0.9831,0.996
0.100077961,-0.1549,-0.0227,0.9824,0.995
0.1020885,-0.1554,-0.0222,0.9828,0.995
0.1040225,-0.1571,-0.0222,0.9811,0.994
0.105949615,-0.1568,-0.0230,0.9804,0.993
0.107931538,-0.1571,-0.0235,0.9780,0.991
0.111111538,-0.1578,-0.0232,0.9775,0.990
0.112496153,-0.1573,-0.0225,0.9780,0.991
0.113855077,-0.1564,-0.0235,0.9755,0.988
0.11589923,-0.1564,-0.0244,0.9758,0.989
0.117782269,-0.1556,-0.0244,0.9765,0.989
0.119888384,-0.1551,-0.0257,0.9775,0.990
0.121829653,-0.1549,-0.0259,0.9789,0.991
0.123833461,-0.1556,-0.0271,0.9782,0.991
0.125786692,-0.1551,-0.0274,0.9784,0.991
0.128691307,-0.1544,-0.0276,0.9782,0.991
0.129793192,-0.1537,-0.0276,0.9802,0.993
0.131759038,-0.1515,-0.0293,0.9821,0.994
0.133830577,-0.1507,-0.0288,0.9824,0.994
0.139199461,-0.1498,-0.0305,0.9831,0.995
0.139778307,-0.1495,-0.0318,0.9843,0.996
0.140116192,-0.1483,-0.0318,0.9858,0.997
0.141589615,-0.1468,-0.0313,0.9868,0.998
0.15375423,-0.1490,-0.0322,0.9875,0.999
0.154497692,-0.1488,-0.0322,0.9912,1.003
0.154930153,-0.1483,-0.0330,0.9914,1.003
0.155252846,-0.1480,-0.0342,0.9926,1.004
0.155559769,-0.1498,-0.0359,0.9948,1.007
0.15585973,-0.1485,-0.0366,0.9963,1.008
0.156182846,-0.1466,-0.0374,0.9941,1.006
0.157323038,-0.1463,-0.0376,0.9946,1.006
0.159426961,-0.1451,-0.0366,0.9943,1.006
0.162402038,-0.1437,-0.0384,0.9953,1.006
0.163326923,-0.1439,-0.0391,0.9955,1.007
0.165431769,-0.1451,-0.0398,0.9941,1.005
0.167329038,-0.1444,-0.0379,0.9936,1.005
0.169537384,-0.1454,-0.0379,0.9931,1.004
0.171349038,-0.1466,-0.0374,0.9931,1.005
0.17332,-0.1451,-0.0366,0.9929,1.004
0.175274576,-0.1434,-0.0357,0.9912,1.002
0.180343,-0.1441,-0.0369,0.9904,1.002
0.181162307,-0.1446,-0.0366,0.9894,1.001
0.181620115,-0.1478,-0.0371,0.9875,0.999
0.183031846,-0.1488,-0.0376,0.9858,0.998
0.185008307,-0.1485,-0.0357,0.9838,0.996
0.186984538,-0.1507,-0.0357,0.9814,0.994
0.18895923,-0.1510,-0.0366,0.9789,0.991
