time,gFx,gFy,gFz,TgF
0.005342692,-0.0525,0.1060,0.9731,0.980
0.005916654,-0.0552,0.1053,0.9731,0.980
0.006294769,-0.0557,0.1055,0.9726,0.980
0.006855385,-0.0545,0.1053,0.9740,0.981
0.007195538,-0.0545,0.1051,0.9728,0.980
0.007528577,-0.0545,0.1051,0.9731,0.980
0.007837462,-0.0525,0.1053,0.9745,0.982
0.008132462,-0.0537,0.1060,0.9758,0.983
0.008432269,-0.0540,0.1058,0.9758,0.983
0.020362923,-0.0533,0.1063,0.9767,0.984
0.020894423,-0.0530,0.1063,0.9775,0.985
0.021160615,-0.0520,0.1060,0.9772,0.984
0.021454923,-0.0525,0.1070,0.9789,0.986
0.021682808,-0.0535,0.1070,0.9802,0.987
0.021915231,-0.0542,0.1080,0.9836,0.991
0.022164192,-0.0528,0.1051,0.9863,0.993
0.023630308,-0.0523,0.1060,0.9860,0.993
0.028219308,-0.0535,0.1058,0.9880,0.995
0.028808423,-0.0535,0.1048,0.9894,0.996
0.032466038,-0.0555,0.1058,0.9892,0.996
0.033007885,-0.0550,0.1073,0.9924,1.000
0.033685692,-0.0552,0.1077,0.9938,1.001
0.035633154,-0.0555,0.1063,0.9953,1.002
0.037629115,-0.0550,0.1063,0.9958,1.003
0.039745962,-0.0552,0.1080,0.9958,1.003
0.043271192,-0.0547,0.1082,0.9965,1.004
0.043842615,-0.0542,0.1085,0.9963,1.004
0.045535885,-0.0550,0.1087,0.9965,1.004
0.047426269,-0.0562,0.1087,0.9980,1.005
0.049386923,-0.0550,0.1077,0.9977,1.005
0.051277385,-0.0545,0.1073,0.9982,1.005
0.053368538,-0.0559,0.1077,0.9987,1.006
0.055240269,-0.0555,0.1092,0.9973,1.005
0.057383615,-0.0557,0.1099,0.9955,1.003
0.060226577,-0.0564,0.1107,0.9948,1.003
0.061379385,-0.0559,0.1119,0.9926,1.000
0.06326,-0.0555,0.1121,0.9938,1.002
0.065181577,-0.0555,0.1109,0.9931,1.001
0.067206423,-0.0555,0.1116,0.9936,1.001
