time,gFx,gFy,gFz,TgF
0.005466038,0.0445,0.9824,0.2411,1.012
0.006463615,0.0457,0.9799,0.2350,1.009
0.007190884,0.0498,0.9733,0.2265,1.001
0.007982769,0.0528,0.9687,0.2201,0.995
0.008611038,0.0528,0.9660,0.2179,0.992
0.009190615,0.0530,0.9609,0.2121,0.985
0.009868961,0.0518,0.9587,0.2086,0.982
0.010450692,0.0484,0.9552,0.2033,0.978
0.010973846,0.0442,0.9560,0.1974,0.977
0.011532038,0.0401,0.9572,0.1950,0.978
0.0119955,0.0337,0.9589,0.1876,0.978
0.012467884,0.0293,0.9631,0.1837,0.981
0.012946423,0.0266,0.9653,0.1820,0.983
0.014643692,0.0210,0.9687,0.1779,0.985
0.015185384,0.0154,0.9709,0.1754,0.987
0.016250038,0.0134,0.9760,0.1715,0.991
0.022738577,0.0086,0.9797,0.1678,0.994
0.023571461,0.0071,0.9809,0.1673,0.995
0.024089153,0.0061,0.9831,0.1664,0.997
0.024545538,0.0039,0.9855,0.1678,1.000
0.027018846,0.0034,0.9853,0.1700,1.000
0.02773,0.0022,0.9860,0.1732,1.001
0.031149423,0.0034,0.9853,0.1739,1.001
0.031972423,0.0044,0.9841,0.1771,1.000
0.039020615,0.0049,0.9853,0.1801,1.002
0.039845692,0.0049,0.9863,0.1823,1.003
0.040336038,0.0056,0.9855,0.1884,1.003
0.040760269,0.0061,0.9841,0.1937,1.003
0.041166192,0.0064,0.9848,0.1972,1.004
0.043448038,0.0061,0.9865,0.2030,1.007
0.045115115,0.0066,0.9875,0.2050,1.009
0.048392884,0.0083,0.9870,0.2111,1.009
0.050189923,0.0068,0.9870,0.2177,1.011
0.050944269,0.0071,0.9865,0.2196,1.011
0.053341346,0.0090,0.9863,0.2221,1.011
0.054955038,0.0115,0.9843,0.2235,1.009
0.057032269,0.0127,0.9828,0.2257,1.009
0.05890723,0.0129,0.9828,0.2282,1.009
0.060896653,0.0142,0.9799,0.2287,1.006
0.062954269,0.0149,0.9777,0.2304,1.005
0.065719538,0.0134,0.9765,0.2304,1.003
0.066840884,0.0147,0.9760,0.2301,1.003
0.068871115,0.0171,0.9743,0.2287,1.001
0.070797769,0.0169,0.9736,0.2284,1.000
0.072816577,0.0188,0.9711,0.2274,0.998
0.074729077,0.0176,0.9679,0.2223,0.993
0.07666873,0.0181,0.9665,0.2199,0.991
0.078595346,0.0193,0.9665,0.2165,0.991
0.084043807,0.0193,0.9643,0.2101,0.987
0.084884653,0.0200,0.9643,0.2084,0.987
0.085315461,0.0210,0.9645,0.2057,0.986
0.087849115,0.0215,0.9628,0.2038,0.984
0.088686577,0.0208,0.9601,0.1998,0.981
0.09098523,0.0213,0.9613,0.1976,0.982
0.092406615,0.0217,0.9621,0.1972,0.982
0.094432346,0.0222,0.9611,0.1954,0.981
0.096365192,0.0220,0.9604,0.1957,0.980
0.098580807,0.0230,0.9589,0.1950,0.979
0.1007735,0.0244,0.9611,0.1935,0.981
0.102503346,0.0239,0.9609,0.1923,0.980
0.104384961,0.0239,0.9626,0.1918,0.982
0.10642923,0.0242,0.9618,0.1928,0.981
0.108312384,0.0244,0.9621,0.1925,0.981
0.110182153,0.0227,0.9621,0.1928,0.981
0.112103423,0.0235,0.9638,0.1932,0.983
0.115132307,0.0237,0.9633,0.1954,0.983
0.116274076,0.0217,0.9621,0.1991,0.983
0.118385038,0.0220,0.9631,0.2001,0.984
0.120322692,0.0227,0.9626,0.2016,0.984
0.122267423,0.0247,0.9650,0.2011,0.986
0.124143153,0.0242,0.9657,0.2030,0.987
0.126108576,0.0222,0.9655,0.2050,0.987
0.128074076,0.0217,0.9648,0.2057,0.987
0.130122269,0.0205,0.9662,0.2086,0.989
0.132570653,0.0198,0.9684,0.2101,0.991
0.133950192,0.0191,0.9694,0.2111,0.992
0.136098923,0.0169,0.9701,0.2089,0.993
0.138094,0.0166,0.9740,0.2099,0.997
0.140084807,0.0166,0.9748,0.2094,0.997
0.142101961,0.0171,0.9753,0.2081,0.997
0.143865846,0.0161,0.9755,0.2072,0.997
0.145752076,0.0151,0.9758,0.2052,0.997
0.148181384,0.0151,0.9750,0.2040,0.996
0.149709269,0.0154,0.9755,0.2025,0.996
0.151777807,0.0156,0.9760,0.2003,0.996
0.153711192,0.0144,0.9767,0.1984,0.997
0.155861076,0.0134,0.9762,0.1981,0.996
0.157580576,0.0151,0.9782,0.1959,0.998
0.159524346,0.0149,0.9780,0.1954,0.997
0.161494153,0.0159,0.9787,0.1947,0.998
0.164925115,0.0164,0.9794,0.1954,0.999
0.167137769,0.0178,0.9784,0.1950,0.998
0.167783346,0.0176,0.9789,0.1952,0.998
0.169567461,0.0183,0.9789,0.1964,0.999
0.171473153,0.0205,0.9797,0.1952,0.999
0.173354461,0.0208,0.9804,0.1957,1.000
0.175423038,0.0205,0.9806,0.1957,1.000
0.177342538,0.0210,0.9794,0.1969,0.999
0.179351346,0.0203,0.9794,0.1981,0.999
0.18157423,0.0210,0.9794,0.1981,0.999
0.183516384,0.0227,0.9794,0.1998,1.000
0.185425346,0.0242,0.9797,0.1998,1.000
0.187468538,0.0252,0.9797,0.1989,1.000
0.189308461,0.0259,0.9804,0.2008,1.001
0.19127473,0.0254,0.9809,0.2001,1.001
0.193247692,0.0252,0.9819,0.2011,1.003
0.19518173,0.0266,0.9816,0.2013,1.002
0.20114623,0.0274,0.9814,0.2023,1.002
0.201843461,0.0264,0.9804,0.2013,1.001
0.202399307,0.0257,0.9804,0.2008,1.001
0.203225653,0.0252,0.9814,0.1984,1.002
0.205159999,0.0266,0.9797,0.1942,0.999
0.207313307,0.0266,0.9797,0.1920,0.999
0.209743076,0.0269,0.9811,0.1891,1.000
0.210982038,0.0242,0.9809,0.1874,0.999
0.212886499,0.0252,0.9806,0.1862,0.998
0.215377538,0.0271,0.9789,0.1847,0.997
0.216905423,0.0271,0.9787,0.1847,0.996
0.218882499,0.0274,0.9799,0.1864,0.998
0.220894384,0.0296,0.9787,0.1886,0.997
0.222855346,0.0296,0.9772,0.1898,0.996
0.224815192,0.0281,0.9772,0.1945,0.997
0.226765307,0.0286,0.9775,0.1979,0.998
0.228750038,0.0296,0.9762,0.1991,0.997
0.231626269,0.0308,0.9780,0.2035,0.999
0.232632961,0.0320,0.9767,0.2047,0.998
0.234703076,0.0332,0.9762,0.2067,0.998
0.236746999,0.0337,0.9765,0.2081,0.999
0.238702461,0.0344,0.9762,0.2077,0.999
0.240734807,0.0371,0.9755,0.2079,0.998
0.242681307,0.0384,0.9731,0.2081,0.996
0.244671115,0.0384,0.9733,0.2094,0.996
0.246563115,0.0388,0.9709,0.2118,0.994
0.248635038,0.0396,0.9699,0.2121,0.994
0.250553884,0.0420,0.9689,0.2133,0.993
0.252472846,0.0435,0.9679,0.2160,0.993
0.254516192,0.0447,0.9682,0.2177,0.993
0.256478269,0.0457,0.9679,0.2189,0.993
0.258488307,0.0481,0.9672,0.2189,0.993
0.260370884,0.0486,0.9662,0.2189,0.992
0.262674499,0.0479,0.9682,0.2201,0.994
0.265593692,0.0486,0.9692,0.2194,0.995
0.266488076,0.0513,0.9711,0.2174,0.996
0.268562999,0.0535,0.9687,0.2150,0.994
0.270338423,0.0530,0.9684,0.2145,0.993
0.272160884,0.0547,0.9687,0.2101,0.993
0.274195269,0.0559,0.9689,0.2050,0.992
0.276123115,0.0564,0.9692,0.2033,0.992
0.278176038,0.0581,0.9692,0.1998,0.991
0.280107346,0.0579,0.9687,0.1976,0.990
0.283418269,0.0606,0.9684,0.1932,0.989
0.284221769,0.0599,0.9672,0.1896,0.987
0.286489884,0.0584,0.9675,0.1879,0.987
0.288303269,0.0557,0.9662,0.1871,0.986
0.290281076,0.0523,0.9655,0.1903,0.985
0.292093307,0.0511,0.9648,0.1928,0.985
0.294203153,0.0452,0.9611,0.1967,0.982
0.296047115,0.0420,0.9601,0.1984,0.981
0.298427923,0.0396,0.9621,0.1981,0.983
0.300466307,0.0386,0.9635,0.2003,0.985
0.302059192,0.0391,0.9653,0.2016,0.987
0.303986807,0.0379,0.9701,0.2025,0.992
0.305912461,0.0366,0.9706,0.2035,0.992
0.307940769,0.0347,0.9721,0.2035,0.994
0.309884076,0.0318,0.9740,0.2040,0.996
0.311825615,0.0303,0.9738,0.2050,0.996
0.315009615,0.0293,0.9743,0.2035,0.996
0.316700346,0.0266,0.9736,0.2028,0.995
0.317878884,0.0283,0.9731,0.2013,0.994
0.319756884,0.0310,0.9711,0.1979,0.992
0.321661576,0.0303,0.9694,0.1979,0.990
0.323605346,0.0276,0.9675,0.1950,0.987
0.325600807,0.0239,0.9672,0.1908,0.986
0.327521307,0.0217,0.9667,0.1898,0.985
0.329509384,0.0164,0.9648,0.1884,0.983
0.332230999,0.0117,0.9638,0.1888,0.982
0.333653653,0.0068,0.9638,0.1898,0.982
0.335488038,0.0012,0.9660,0.1928,0.985
0.337397307,-0.0005,0.9662,0.1954,0.986
0.339365076,-0.0037,0.9677,0.1986,0.988
0.341322846,-0.0054,0.9677,0.2023,0.989
0.343269884,-0.0051,0.9679,0.2020,0.989
0.345236038,-0.0032,0.9657,0.2055,0.987
0.347505422,-0.0027,0.9638,0.2067,0.986
0.349338769,-0.0002,0.9618,0.2050,0.983
0.352017307,0.0024,0.9611,0.2028,0.982
0.353157922,0.0024,0.9606,0.2011,0.981
0.355196538,0.0020,0.9584,0.1957,0.978
0.357134153,0.0000,0.9591,0.1942,0.979
0.359138499,0.0002,0.9599,0.1932,0.979
0.361105999,-0.0007,0.9591,0.1910,0.978
0.363050038,-0.0005,0.9577,0.1920,0.977
0.365494422,0.0012,0.9572,0.1913,0.976
0.367073346,0.0051,0.9538,0.1864,0.972
0.369049115,0.0088,0.9513,0.1852,0.969
0.371071538,0.0142,0.9496,0.1847,0.968
0.373150115,0.0173,0.9489,0.1835,0.967
0.374939653,0.0200,0.9462,0.1791,0.963
0.376900461,0.0232,0.9442,0.1757,0.961
0.378933922,0.0237,0.9438,0.1744,0.960
0.382158769,0.0244,0.9445,0.1725,0.960
0.382904461,0.0235,0.9438,0.1735,0.960
0.38495623,0.0220,0.9450,0.1742,0.961
0.386900576,0.0178,0.9462,0.1744,0.962
0.388928461,0.0151,0.9464,0.1747,0.963
0.390861346,0.0090,0.9489,0.1791,0.966
0.392750422,0.0012,0.9545,0.1840,0.972
0.394991422,-0.0024,0.9582,0.1862,0.976
0.39664523,-0.0081,0.9645,0.1932,0.984
0.40161173,-0.0137,0.9704,0.2033,0.992
0.402539461,-0.0166,0.9745,0.2081,0.997
0.403041307,-0.0198,0.9821,0.2128,1.005
0.404724346,-0.0205,0.9843,0.2157,1.008
0.406921807,-0.0186,0.9880,0.2211,1.013
0.408915461,-0.0151,0.9929,0.2250,1.018
0.410656115,-0.0125,0.9941,0.2248,1.019
0.412699307,-0.0054,0.9948,0.2213,1.019
0.415590307,0.0007,0.9936,0.2162,1.017
0.416583576,0.0042,0.9929,0.2121,1.015
0.418578576,0.0100,0.9912,0.2018,1.012
0.420574038,0.0176,0.9916,0.1940,1.011
0.423096999,0.0208,0.9924,0.1884,1.010
0.424467692,0.0237,0.9933,0.1769,1.009
0.426463422,0.0257,0.9948,0.1725,1.010
0.428381076,0.0296,0.9968,0.1656,1.011
0.430458384,0.0305,0.9990,0.1586,1.012
0.43244373,0.0300,1.0007,0.1549,1.013
0.435094461,0.0274,1.0029,0.1483,1.014
0.436308845,0.0259,1.0043,0.1461,1.015
0.438417999,0.0271,1.0070,0.1444,1.018
0.440310153,0.0239,1.0063,0.1422,1.017
0.442259192,0.0217,1.0073,0.1407,1.017
0.44420823,0.0188,1.0092,0.1390,1.019
0.446216576,0.0149,1.0097,0.1373,1.019
0.449548192,0.0144,1.0102,0.1378,1.020
0.450357307,0.0115,1.0109,0.1395,1.021
0.452110153,0.0093,1.0112,0.1402,1.021
0.45414773,0.0090,1.0105,0.1400,1.020
0.456060538,0.0054,1.0119,0.1429,1.022
0.458111615,0.0039,1.0117,0.1449,1.022
0.460022845,0.0007,1.0129,0.1463,1.023
0.462010807,-0.0042,1.0122,0.1520,1.024
0.464042345,-0.0066,1.0119,0.1546,1.024
0.466308384,-0.0073,1.0114,0.1615,1.024
0.467961999,-0.0068,1.0129,0.1639,1.026
0.47004823,-0.0088,1.0146,0.1693,1.029
0.471943807,-0.0095,1.0151,0.1776,1.031
0.473771345,-0.0083,1.0158,0.1813,1.032
0.475762615,-0.0039,1.0163,0.1869,1.033
0.47771423,-0.0024,1.0158,0.1898,1.033
0.479700538,0.0005,1.0168,0.1979,1.036
0.485165615,0.0029,1.0188,0.2030,1.039
0.486106653,0.0051,1.0192,0.2052,1.040
0.486594269,0.0103,1.0210,0.2079,1.042
0.487737769,0.0169,1.0195,0.2101,1.041
0.489756884,0.0208,1.0185,0.2118,1.041
0.491634307,0.0281,1.0170,0.2133,1.040
0.493548692,0.0310,1.0161,0.2140,1.039
0.495452653,0.0359,1.0153,0.2143,1.038
0.497351538,0.0393,1.0119,0.2135,1.035
0.500719845,0.0420,1.0105,0.2135,1.034
0.501613615,0.0462,1.0073,0.2157,1.031
0.503442884,0.0491,1.0061,0.2147,1.030
0.505327461,0.0496,1.0019,0.2130,1.025
0.507261692,0.0520,0.9975,0.2123,1.021
0.509130692,0.0523,0.9958,0.2128,1.020
0.511732769,0.0535,0.9914,0.2128,1.015
0.513292538,0.0545,0.9863,0.2121,1.010
0.517180538,0.0535,0.9836,0.2113,1.007
0.517880422,0.0542,0.9780,0.2116,1.002
0.520881461,0.0552,0.9753,0.2118,1.000
0.522145538,0.0586,0.9694,0.2116,0.994
0.523304115,0.0591,0.9643,0.2135,0.989
0.525111076,0.0594,0.9596,0.2143,0.985
0.527188961,0.0577,0.9550,0.2143,0.980
0.529348268,0.0586,0.9501,0.2133,0.976
0.531767115,0.0586,0.9489,0.2138,0.974
0.535192345,0.0579,0.9460,0.2157,0.972
0.53720673,0.0577,0.9425,0.2160,0.969
0.538960115,0.0572,0.9369,0.2157,0.963
0.540239884,0.0557,0.9352,0.2147,0.961
0.541383615,0.0528,0.9340,0.2140,0.960
0.543347076,0.0498,0.9323,0.2145,0.958
0.545175692,0.0491,0.9281,0.2128,0.953
0.547110115,0.0474,0.9271,0.2125,0.952
0.551863961,0.0454,0.9257,0.2128,0.951
0.553611268,0.0442,0.9247,0.2118,0.950
0.555042692,0.0403,0.9203,0.2089,0.945
0.556377615,0.0386,0.9218,0.2072,0.946
0.557352538,0.0379,0.9220,0.2057,0.945
0.559042768,0.0347,0.9205,0.2016,0.943
0.561290384,0.0320,0.9210,0.1962,0.942
0.563034384,0.0315,0.9218,0.1947,0.943
0.56625023,0.0303,0.9247,0.1915,0.945
0.567281807,0.0298,0.9254,0.1903,0.945
0.569934461,0.0291,0.9257,0.1862,0.945
0.57149173,0.0274,0.9286,0.1827,0.947
0.572815922,0.0252,0.9306,0.1823,0.949
0.574826038,0.0210,0.9323,0.1808,0.950
0.576690807,0.0198,0.9342,0.1781,0.951
0.578693307,0.0195,0.9352,0.1779,0.952
0.58051873,0.0164,0.9374,0.1788,0.954
0.585055268,0.0137,0.9386,0.1779,0.955
0.586839192,0.0125,0.9420,0.1764,0.958
0.588421692,0.0112,0.9452,0.1764,0.962
0.588998384,0.0090,0.9457,0.1774,0.962
0.590368922,0.0105,0.9474,0.1771,0.964
0.592217884,0.0100,0.9504,0.1747,0.966
0.594366768,0.0090,0.9518,0.1747,0.968
0.596377115,0.0083,0.9545,0.1757,0.971
0.598324884,0.0081,0.9565,0.1769,0.973
0.60349173,0.0086,0.9601,0.1769,0.976
0.604299268,0.0100,0.9643,0.1801,0.981
0.604699307,0.0100,0.9670,0.1808,0.984
0.60629923,0.0105,0.9694,0.1830,0.987
0.608482922,0.0122,0.9709,0.1832,0.988
0.610310499,0.0139,0.9760,0.1830,0.993
