time,gFx,gFy,gFz,TgF
0.004941346,-0.1112,0.9853,0.1356,1.001
0.005396116,-0.1104,0.9858,0.1351,1.001
0.00563527,-0.1092,0.9907,0.1307,1.005
0.005874462,-0.1099,0.9914,0.1295,1.006
0.006111616,-0.1116,0.9907,0.1295,1.005
0.006354731,-0.1114,0.9899,0.1317,1.005
0.006701654,-0.1090,0.9894,0.1327,1.004
0.012097539,-0.1092,0.9892,0.1346,1.004
0.012694693,-0.1087,0.9912,0.1351,1.006
0.012991308,-0.1087,0.9909,0.1363,1.006
0.014361231,-0.1082,0.9919,0.1378,1.007
0.016278193,-0.1082,0.9914,0.1383,1.007
0.018219616,-0.1080,0.9907,0.1402,1.006
0.020074539,-0.1092,0.9907,0.1424,1.007
0.022067577,-0.1085,0.9904,0.1427,1.007
0.027340654,-0.1085,0.9914,0.1441,1.008
0.027928346,-0.1068,0.9919,0.1437,1.008
0.028236539,-0.1048,0.9914,0.1429,1.007
0.031036,-0.1029,0.9907,0.1439,1.006
0.03524627,-0.1021,0.9912,0.1441,1.007
0.035751423,-0.0999,0.9890,0.1424,1.004
0.0360085,-0.0987,0.9885,0.1388,1.003
0.0378275,-0.0980,0.9870,0.1373,1.001
0.041208385,-0.0972,0.9858,0.1344,1.000
0.042227616,-0.0941,0.9846,0.1331,0.998
0.043935731,-0.0943,0.9824,0.1314,0.996
0.045812962,-0.0938,0.9816,0.1283,0.994
0.047792846,-0.0914,0.9814,0.1278,0.994
0.049729039,-0.0897,0.9797,0.1256,0.992
0.051740539,-0.0899,0.9777,0.1236,0.990
0.0542755,-0.0899,0.9782,0.1246,0.990
0.055677539,-0.0899,0.9767,0.1236,0.989
0.058559462,-0.0894,0.9760,0.1234,0.988
0.059660154,-0.0897,0.9767,0.1229,0.989
0.061584539,-0.0897,0.9770,0.1236,0.989
0.063623462,-0.0892,0.9767,0.1239,0.989
0.065559693,-0.0899,0.9777,0.1244,0.990
0.067537885,-0.0894,0.9794,0.1258,0.992
0.069531962,-0.0892,0.9794,0.1248,0.991
0.071507,-0.0904,0.9828,0.1248,0.995
0.07434377,-0.0914,0.9833,0.1256,0.996
0.075527154,-0.0906,0.9850,0.1270,0.997
0.077473116,-0.0911,0.9843,0.1290,0.997
0.079419039,-0.0911,0.9848,0.1302,0.998
0.081379731,-0.0928,0.9831,0.1327,0.996
0.083446885,-0.0953,0.9826,0.1344,0.996
0.085393539,-0.0955,0.9838,0.1346,0.998
0.087294269,-0.0975,0.9831,0.1341,0.997
0.089360616,-0.0980,0.9841,0.1336,0.998
0.091360423,-0.0980,0.9843,0.1346,0.998
0.093323616,-0.0987,0.9850,0.1363,0.999
0.095226193,-0.0980,0.9858,0.1353,1.000
0.097214385,-0.0992,0.9853,0.1368,1.000
0.0991625,-0.0997,0.9836,0.1366,0.998
0.101175,-0.1002,0.9836,0.1368,0.998
0.103165308,-0.1011,0.9853,0.1375,1.000
0.105187539,-0.1026,0.9848,0.1361,0.999
0.110502923,-0.1024,0.9841,0.1351,0.999
0.111064193,-0.1011,0.9846,0.1356,0.999
0.111532462,-0.0999,0.9850,0.1368,1.000
0.113257,-0.0999,0.9850,0.1378,1.000
0.115073193,-0.0994,0.9846,0.1363,0.999
0.117098539,-0.0987,0.9846,0.1366,0.999
0.119058539,-0.0989,0.9841,0.1356,0.998
0.121057154,-0.0977,0.9833,0.1361,0.998
0.123090654,-0.0967,0.9831,0.1363,0.997
0.128186616,-0.0965,0.9828,0.1371,0.997
0.128952885,-0.0970,0.9831,0.1375,0.997
0.129366616,-0.0943,0.9836,0.1363,0.997
0.130909577,-0.0945,0.9831,0.1358,0.997
0.133075616,-0.0955,0.9831,0.1336,0.997
0.134847616,-0.0958,0.9828,0.1327,0.996
0.136824308,-0.0963,0.9833,0.1314,0.997
0.1386945,-0.0960,0.9841,0.1314,0.997
0.141425885,-0.0945,0.9848,0.1309,0.998
0.143488846,-0.0948,0.9868,0.1317,1.000
0.1447705,-0.0945,0.9875,0.1356,1.001
0.146709808,-0.0975,0.9872,0.1388,1.002
0.148699539,-0.0982,0.9850,0.1402,1.000
0.150634923,-0.0989,0.9846,0.1434,1.000
0.152642308,-0.0992,0.9853,0.1441,1.001
0.154548269,-0.1014,0.9865,0.1439,1.002
0.156730231,-0.1009,0.9868,0.1415,1.002
0.158690539,-0.1007,0.9870,0.1380,1.002
0.160630885,-0.0982,0.9885,0.1319,1.002
0.162475808,-0.0980,0.9880,0.1312,1.001
0.164458039,-0.1007,0.9858,0.1361,1.000
0.166374231,-0.0999,0.9855,0.1439,1.001
0.168412154,-0.1011,0.9853,0.1490,1.002
0.170338923,-0.0989,0.9836,0.1581,1.001
0.172352,-0.0982,0.9831,0.1649,1.002
0.174608731,-0.0977,0.9838,0.1669,1.003
0.176459846,-0.0980,0.9838,0.1644,1.002
0.178330808,-0.0977,0.9831,0.1627,1.001
0.180258346,-0.0972,0.9831,0.1564,1.000
0.182267,-0.0936,0.9841,0.1495,1.000
0.184241154,-0.0938,0.9848,0.1473,1.000
0.186196423,-0.0936,0.9870,0.1412,1.001
0.188149577,-0.0933,0.9894,0.1344,1.003
0.191332193,-0.0936,0.9897,0.1319,1.003
0.192130039,-0.0923,0.9890,0.1295,1.002
0.194134308,-0.0931,0.9887,0.1292,1.001
0.196122308,-0.0919,0.9875,0.1297,1.000
0.198059308,-0.0931,0.9870,0.1307,1.000
0.200015192,-0.0943,0.9870,0.1312,1.000
0.202000423,-0.0943,0.9877,0.1319,1.001
0.204013269,-0.0938,0.9865,0.1312,1.000
0.205957154,-0.0945,0.9863,0.1300,0.999
0.215972539,-0.0931,0.9853,0.1270,0.998
0.216605308,-0.0928,0.9855,0.1256,0.998
0.216924269,-0.0919,0.9863,0.1234,0.998
0.2171905,-0.0928,0.9860,0.1246,0.998
0.217440846,-0.0931,0.9855,0.1246,0.998
0.217691116,-0.0923,0.9838,0.1283,0.996
0.219820808,-0.0931,0.9838,0.1312,0.997
0.221729077,-0.0953,0.9821,0.1375,0.996
0.224978308,-0.0936,0.9814,0.1441,0.996
0.226779808,-0.0923,0.9806,0.1473,0.996
0.227978116,-0.0919,0.9806,0.1532,0.997
0.229752692,-0.0911,0.9821,0.1522,0.998
