time,gFx,gFy,gFz,TgF
0.004740154,0.0518,0.9865,0.0247,0.988
0.005227692,0.0496,0.9850,0.0257,0.987
0.005489923,0.0496,0.9858,0.0254,0.987
0.005715577,0.0486,0.9855,0.0252,0.987
0.005950346,0.0493,0.9865,0.0254,0.988
0.006178346,0.0476,0.9868,0.0254,0.988
0.008148461,0.0472,0.9882,0.0266,0.990
0.009163346,0.0472,0.9894,0.0249,0.991
0.011084461,0.0467,0.9907,0.0247,0.992
0.013082231,0.0445,0.9924,0.0210,0.994
0.014918346,0.0435,0.9931,0.0205,0.994
0.0169585,0.0435,0.9946,0.0217,0.996
0.0210955,0.0445,0.9973,0.0222,0.998
0.021697384,0.0452,0.9982,0.0220,1.000
0.022871346,0.0450,1.0024,0.0198,1.004
0.025026307,0.0437,1.0053,0.0208,1.006
0.026828961,0.0435,1.0068,0.0205,1.008
0.028740577,0.0447,1.0080,0.0208,1.009
0.030639307,0.0428,1.0080,0.0200,1.009
0.032560615,0.0425,1.0090,0.0210,1.010
0.035909461,0.0437,1.0114,0.0183,1.013
0.036575538,0.0440,1.0124,0.0193,1.014
0.038592038,0.0432,1.0144,0.0217,1.016
0.040568461,0.0435,1.0178,0.0215,1.019
0.042543154,0.0442,1.0180,0.0222,1.019
0.044453307,0.0435,1.0166,0.0259,1.018
0.046727654,0.0423,1.0158,0.0252,1.017
0.048369307,0.0408,1.0153,0.0261,1.016
0.050337231,0.0408,1.0158,0.0276,1.017
0.054676577,0.0420,1.0158,0.0281,1.017
0.055268538,0.0423,1.0139,0.0291,1.015
0.056441154,0.0406,1.0126,0.0300,1.014
0.058517346,0.0406,1.0109,0.0310,1.012
0.060291192,0.0425,1.0095,0.0349,1.011
0.062379654,0.0418,1.0085,0.0359,1.010
0.064197538,0.0418,1.0065,0.0366,1.008
0.066178154,0.0410,1.0048,0.0379,1.006
0.07806623,0.0408,1.0017,0.0388,1.003
0.078771654,0.0398,0.9990,0.0413,1.001
0.079135961,0.0398,0.9975,0.0428,0.999
0.079466423,0.0401,0.9941,0.0450,0.996
