time,gFx,gFy,gFz,TgF
0.004442731,0.0486,0.9863,0.1270,0.996
0.004939885,0.0484,0.9865,0.1273,0.996
0.005345654,0.0474,0.9858,0.1285,0.995
0.005697885,0.0486,0.9863,0.1287,0.996
0.005942731,0.0472,0.9858,0.1287,0.995
0.006196846,0.0481,0.9858,0.1324,0.996
0.0064615,0.0479,0.9855,0.1329,0.996
0.006718308,0.0472,0.9828,0.1336,0.993
0.008976423,0.0474,0.9821,0.1346,0.992
0.010203269,0.0476,0.9814,0.1356,0.992
0.011898615,0.0450,0.9826,0.1410,0.994
0.014716385,0.0450,0.9826,0.1424,0.994
0.018109308,0.0440,0.9819,0.1476,0.994
0.018647808,0.0435,0.9824,0.1507,0.995
0.019868654,0.0435,0.9816,0.1534,0.994
0.021650885,0.0432,0.9806,0.1578,0.994
0.026744808,0.0435,0.9806,0.1581,0.994
0.027409077,0.0425,0.9782,0.1586,0.992
0.027818154,0.0428,0.9770,0.1590,0.991
0.029488961,0.0418,0.9770,0.1598,0.991
0.031320692,0.0437,0.9775,0.1573,0.991
0.033437192,0.0428,0.9775,0.1561,0.991
0.035252231,0.0430,0.9782,0.1542,0.991
0.037301192,0.0430,0.9792,0.1524,0.992
0.039166615,0.0430,0.9784,0.1517,0.991
0.0488525,0.0423,0.9792,0.1498,0.991
0.0495385,0.0406,0.9797,0.1498,0.992
0.049844154,0.0410,0.9809,0.1500,0.993
0.050087038,0.0425,0.9806,0.1505,0.993
0.050323038,0.0432,0.9824,0.1500,0.995
0.053759231,0.0428,0.9831,0.1468,0.995
0.054244615,0.0442,0.9831,0.1437,0.995
0.054843884,0.0430,0.9841,0.1419,0.995
0.057841577,0.0437,0.9858,0.1402,0.997
0.059268423,0.0420,0.9877,0.1383,0.998
0.061192077,0.0428,0.9885,0.1373,0.999
0.063077808,0.0425,0.9904,0.1373,1.001
0.0666275,0.0413,0.9907,0.1371,1.001
0.067175615,0.0408,0.9914,0.1344,1.001
0.068863308,0.0406,0.9936,0.1322,1.003
0.071089038,0.0393,0.9938,0.1305,1.003
0.072894038,0.0398,0.9938,0.1297,1.003
0.075120846,0.0398,0.9933,0.1297,1.003
0.076911961,0.0413,0.9943,0.1302,1.004
0.078785961,0.0393,0.9958,0.1273,1.005
0.080713923,0.0388,0.9963,0.1273,1.005
0.082763615,0.0384,0.9977,0.1256,1.006
0.084746154,0.0379,0.9970,0.1273,1.006
0.086629231,0.0379,0.9968,0.1270,1.006
0.088549038,0.0369,0.9968,0.1246,1.005
0.0913815,0.0371,0.9970,0.1239,1.005
0.092669846,0.0352,0.9970,0.1236,1.005
0.094629654,0.0347,0.9955,0.1224,1.004
0.096590038,0.0352,0.9943,0.1226,1.002
0.098521115,0.0362,0.9943,0.1217,1.002
0.1004975,0.0371,0.9951,0.1214,1.003
0.102460077,0.0371,0.9955,0.1219,1.004
0.104466308,0.0369,0.9943,0.1246,1.003
0.106676654,0.0366,0.9936,0.1241,1.002
0.108743731,0.0362,0.9938,0.1251,1.002
0.110494269,0.0381,0.9931,0.1261,1.002
0.112390692,0.0384,0.9943,0.1266,1.003
0.114384192,0.0379,0.9941,0.1261,1.003
0.116318577,0.0386,0.9936,0.1253,1.002
0.118317423,0.0386,0.9919,0.1261,1.001
0.120192346,0.0398,0.9919,0.1268,1.001
0.122187577,0.0388,0.9914,0.1248,1.000
0.124757538,0.0408,0.9899,0.1275,0.999
0.126177115,0.0413,0.9894,0.1280,0.999
0.128197115,0.0415,0.9899,0.1283,0.999
0.130094654,0.0425,0.9912,0.1297,1.001
0.132120115,0.0437,0.9904,0.1312,1.000
0.134015846,0.0464,0.9885,0.1327,0.998
0.136064423,0.0479,0.9868,0.1358,0.997
0.138023884,0.0486,0.9865,0.1378,0.997
0.140201231,0.0498,0.9877,0.1380,0.999
0.149778923,0.0503,0.9875,0.1410,0.999
0.150444,0.0523,0.9868,0.1419,0.998
0.150778269,0.0528,0.9858,0.1434,0.998
0.151060884,0.0540,0.9858,0.1444,0.998
0.151334115,0.0567,0.9833,0.1463,0.996
0.151781577,0.0557,0.9814,0.1468,0.994
0.153796538,0.0562,0.9816,0.1468,0.994
0.155897115,0.0586,0.9806,0.1495,0.994
0.158157,0.0601,0.9804,0.1505,0.994
0.159967307,0.0584,0.9797,0.1527,0.993
0.162006884,0.0599,0.9777,0.1534,0.991
0.163850154,0.0603,0.9762,0.1532,0.990
0.166039461,0.0599,0.9755,0.1551,0.990
0.167976769,0.0596,0.9736,0.1546,0.988
0.169798192,0.0581,0.9733,0.1556,0.987
0.171856654,0.0574,0.9716,0.1568,0.986
0.175703769,0.0589,0.9706,0.1564,0.985
0.176359923,0.0550,0.9699,0.1573,0.984
0.177805,0.0515,0.9694,0.1564,0.983
0.179706923,0.0506,0.9699,0.1568,0.984
0.181645846,0.0496,0.9689,0.1556,0.983
0.183644307,0.0491,0.9684,0.1544,0.982
0.185666461,0.0481,0.9682,0.1537,0.981
0.187519769,0.0459,0.9684,0.1498,0.981
0.189602846,0.0437,0.9682,0.1488,0.981
0.191598231,0.0406,0.9677,0.1459,0.979
0.193646692,0.0386,0.9682,0.1429,0.979
0.195527307,0.0381,0.9679,0.1424,0.979
0.197558884,0.0386,0.9692,0.1395,0.980
0.199425423,0.0354,0.9709,0.1353,0.981
0.201345038,0.0349,0.9709,0.1334,0.981
0.203389884,0.0318,0.9709,0.1312,0.980
0.205271961,0.0308,0.9721,0.1285,0.981
0.208265769,0.0279,0.9719,0.1248,0.980
0.209463154,0.0254,0.9736,0.1224,0.982
0.211371038,0.0244,0.9728,0.1204,0.981
0.213321307,0.0225,0.9760,0.1190,0.983
0.215201038,0.0191,0.9780,0.1141,0.985
0.217171884,0.0171,0.9802,0.1136,0.987
0.219156884,0.0137,0.9792,0.1109,0.986
0.221093654,0.0129,0.9804,0.1087,0.986
0.223090538,0.0110,0.9824,0.1048,0.988
0.225162654,0.0110,0.9821,0.1021,0.987
0.227320538,0.0100,0.9836,0.1014,0.989
0.229087577,0.0071,0.9872,0.0980,0.992
0.231053731,0.0049,0.9880,0.0963,0.993
0.232984154,0.0042,0.9882,0.0953,0.993
0.235028115,0.0010,0.9912,0.0948,0.996
0.236942692,-0.0002,0.9921,0.0955,0.997
0.238947384,-0.0022,0.9948,0.0960,0.999
0.251210192,-0.0044,0.9955,0.0945,1.000
0.251765461,-0.0046,0.9953,0.0943,1.000
0.252074192,-0.0078,0.9946,0.0941,0.999
0.252342807,-0.0081,0.9958,0.0945,1.000
0.252599692,-0.0083,0.9982,0.0967,1.003
0.25287773,-0.0132,0.9999,0.0997,1.005
0.253179038,-0.0149,1.0007,0.1009,1.006
0.254815538,-0.0139,1.0021,0.1014,1.007
0.258648692,-0.0142,1.0021,0.1016,1.007
0.2592625,-0.0147,1.0024,0.1024,1.008
0.261049846,-0.0169,1.0043,0.1033,1.010
0.262653269,-0.0191,1.0056,0.1048,1.011
0.264640846,-0.0227,1.0053,0.1065,1.011
0.266564769,-0.0235,1.0043,0.1094,1.011
0.268582884,-0.0242,1.0043,0.1102,1.011
0.27055773,-0.0257,1.0063,0.1129,1.013
0.272503077,-0.0276,1.0070,0.1156,1.014
0.276220423,-0.0286,1.0073,0.1160,1.014
0.277090961,-0.0293,1.0073,0.1182,1.015
0.278512269,-0.0303,1.0075,0.1190,1.015
0.280396807,-0.0322,1.0058,0.1224,1.014
0.282421423,-0.0305,1.0048,0.1263,1.013
0.284239807,-0.0296,1.0058,0.1251,1.014
0.2862235,-0.0298,1.0061,0.1270,1.014
0.288172923,-0.0288,1.0056,0.1283,1.014
0.290314615,-0.0264,1.0046,0.1305,1.013
0.292310577,-0.0254,1.0026,0.1324,1.012
0.294207923,-0.0247,1.0024,0.1344,1.012
0.296206307,-0.0235,1.0014,0.1371,1.011
0.298524038,-0.0232,1.0009,0.1397,1.011
0.300229307,-0.0225,1.0012,0.1422,1.011
0.302115,-0.0215,0.9992,0.1417,1.009
0.303932769,-0.0205,0.9982,0.1429,1.009
0.305845692,-0.0186,0.9980,0.1459,1.009
0.307951307,-0.0169,0.9960,0.1473,1.007
0.309875923,-0.0171,0.9951,0.1480,1.006
0.311790115,-0.0147,0.9953,0.1505,1.007
0.313824577,-0.0134,0.9955,0.1517,1.007
0.31565973,-0.0120,0.9943,0.1527,1.006
0.317632307,-0.0110,0.9941,0.1549,1.006
0.319569654,-0.0093,0.9938,0.1546,1.006
0.321507115,-0.0049,0.9921,0.1539,1.004
0.323480307,-0.0044,0.9921,0.1537,1.004
0.325588192,-0.0042,0.9916,0.1537,1.003
0.327588269,-0.0015,0.9926,0.1549,1.005
0.329581,0.0000,0.9914,0.1544,1.003
0.331378,0.0059,0.9916,0.1571,1.004
0.333534423,0.0071,0.9914,0.1568,1.004
0.335238192,0.0100,0.9899,0.1588,1.003
0.337295038,0.0149,0.9885,0.1598,1.001
0.3392385,0.0161,0.9880,0.1603,1.001
0.344725961,0.0198,0.9880,0.1615,1.001
0.345548307,0.0252,0.9885,0.1612,1.002
0.346050077,0.0286,0.9875,0.1622,1.001
0.347333115,0.0344,0.9870,0.1639,1.001
0.349346192,0.0369,0.9865,0.1649,1.001
0.351518884,0.0420,0.9836,0.1659,0.998
0.353751615,0.0457,0.9843,0.1664,0.999
0.355130692,0.0489,0.9846,0.1671,1.000
0.361522615,0.0542,0.9824,0.1691,0.998
0.362307577,0.0584,0.9819,0.1695,0.998
0.362791423,0.0603,0.9802,0.1676,0.996
0.363230769,0.0643,0.9802,0.1669,0.996
0.36505923,0.0657,0.9802,0.1673,0.997
0.366988153,0.0689,0.9799,0.1676,0.997
0.368920769,0.0718,0.9782,0.1652,0.995
0.370868346,0.0733,0.9782,0.1656,0.995
0.37286023,0.0789,0.9767,0.1654,0.994
0.375095577,0.0806,0.9750,0.1649,0.992
0.376885692,0.0845,0.9738,0.1622,0.991
0.378958038,0.0877,0.9745,0.1617,0.992
0.380807846,0.0889,0.9745,0.1598,0.992
0.382649615,0.0914,0.9728,0.1590,0.990
0.384604769,0.0943,0.9738,0.1595,0.991
0.38663223,0.0955,0.9726,0.1578,0.990
0.388601307,0.0980,0.9723,0.1571,0.990
0.391721077,0.0975,0.9719,0.1564,0.989
0.393809615,0.1004,0.9701,0.1564,0.988
0.394542923,0.1055,0.9689,0.1568,0.987
0.396593077,0.1073,0.9697,0.1568,0.988
0.398460769,0.1094,0.9689,0.1568,0.988
0.400444346,0.1116,0.9687,0.1561,0.988
0.402351269,0.1126,0.9689,0.1554,0.988
0.404331961,0.1146,0.9689,0.1546,0.988
0.406338077,0.1160,0.9692,0.1554,0.988
0.409258077,0.1178,0.9701,0.1542,0.989
0.410393923,0.1178,0.9701,0.1527,0.989
0.412489846,0.1190,0.9701,0.1527,0.989
0.414288153,0.1175,0.9694,0.1542,0.989
0.416199269,0.1153,0.9694,0.1542,0.988
0.418228346,0.1160,0.9714,0.1517,0.990
0.420158423,0.1165,0.9719,0.1524,0.991
0.42212873,0.1158,0.9716,0.1532,0.990
0.42717923,0.1112,0.9723,0.1537,0.991
0.427777538,0.1107,0.9721,0.1554,0.991
0.428134692,0.1085,0.9723,0.1546,0.991
0.430229692,0.1051,0.9726,0.1539,0.990
0.433554,0.1031,0.9726,0.1544,0.990
0.434096846,0.0994,0.9716,0.1515,0.988
0.436217192,0.0970,0.9728,0.1502,0.989
0.438403192,0.0941,0.9743,0.1500,0.990
0.439983577,0.0880,0.9745,0.1485,0.990
0.442810538,0.0843,0.9745,0.1485,0.989
0.443905923,0.0828,0.9745,0.1480,0.989
0.445939769,0.0762,0.9755,0.1463,0.989
0.447869038,0.0740,0.9748,0.1461,0.988
0.449751846,0.0699,0.9753,0.1466,0.989
0.451735653,0.0662,0.9772,0.1459,0.990
0.453680692,0.0643,0.9758,0.1463,0.989
0.455661461,0.0603,0.9760,0.1461,0.989
0.458062153,0.0520,0.9762,0.1439,0.988
0.459895384,0.0503,0.9777,0.1432,0.989
0.461808192,0.0464,0.9784,0.1415,0.990
0.463776807,0.0452,0.9780,0.1397,0.989
0.465622115,0.0403,0.9784,0.1346,0.988
0.467650615,0.0364,0.9789,0.1309,0.988
0.469810769,0.0344,0.9804,0.1300,0.990
0.4716935,0.0310,0.9797,0.1268,0.988
0.47514173,0.0283,0.9804,0.1251,0.989
0.476644115,0.0237,0.9826,0.1209,0.990
0.477571461,0.0210,0.9833,0.1175,0.991
0.479541923,0.0191,0.9838,0.1180,0.991
0.48166923,0.0142,0.9863,0.1229,0.994
0.483523692,0.0112,0.9875,0.1302,0.996
0.486146846,0.0088,0.9897,0.1336,0.999
0.487370153,0.0066,0.9887,0.1385,0.998
0.489458576,0.0049,0.9880,0.1415,0.998
0.491643846,0.0034,0.9885,0.1434,0.999
0.493371307,0.0027,0.9875,0.1429,0.998
0.495455884,0.0015,0.9880,0.1424,0.998
0.497297076,-0.0005,0.9899,0.1415,1.000
0.499374961,-0.0020,0.9907,0.1424,1.001
0.501040076,-0.0056,0.9902,0.1451,1.001
0.503180423,-0.0086,0.9912,0.1478,1.002
0.505033807,-0.0098,0.9912,0.1502,1.003
0.507335884,-0.0122,0.9902,0.1568,1.003
0.509168076,-0.0134,0.9904,0.1617,1.004
0.511149192,-0.0166,0.9909,0.1688,1.005
0.512923307,-0.0183,0.9909,0.1730,1.006
0.514916461,-0.0195,0.9914,0.1759,1.007
0.516834038,-0.0227,0.9914,0.1791,1.008
0.518957192,-0.0242,0.9904,0.1801,1.007
0.52074273,-0.0244,0.9892,0.1796,1.006
0.522994576,-0.0235,0.9872,0.1827,1.004
0.525791115,-0.0244,0.9875,0.1842,1.005
0.527077923,-0.0269,0.9863,0.1842,1.004
0.528818,-0.0291,0.9860,0.1827,1.003
0.530816807,-0.0296,0.9865,0.1818,1.004
0.532665423,-0.0308,0.9858,0.1771,1.002
0.534755576,-0.0318,0.9858,0.1735,1.001
0.536713461,-0.0340,0.9855,0.1678,1.000
0.538787307,-0.0366,0.9872,0.1598,1.001
0.540420192,-0.0359,0.9872,0.1559,1.000
0.54906123,-0.0366,0.9882,0.1488,1.000
0.550309192,-0.0384,0.9894,0.1459,1.001
0.551169538,-0.0418,0.9899,0.1356,1.000
0.5519265,-0.0418,0.9907,0.1295,1.000
0.552730307,-0.0401,0.9907,0.1263,0.999
0.553708384,-0.0408,0.9907,0.1207,0.999
0.555219346,-0.0425,0.9933,0.1187,1.001
0.556310038,-0.0406,0.9938,0.1168,1.001
0.572846269,-0.0393,0.9946,0.1160,1.002
0.574503307,-0.0398,0.9946,0.1156,1.002
0.575681807,-0.0357,0.9951,0.1134,1.002
0.576782615,-0.0322,0.9963,0.1138,1.003
0.578025423,-0.0315,0.9970,0.1138,1.004
0.579021538,-0.0296,0.9958,0.1136,1.003
0.580219499,-0.0249,0.9948,0.1134,1.002
0.580976076,-0.0215,0.9938,0.1138,1.001
0.581814846,-0.0181,0.9965,0.1160,1.003
0.582807115,-0.0156,0.9965,0.1182,1.004
0.583574653,-0.0122,0.9960,0.1207,1.003
0.584599538,-0.0088,0.9943,0.1246,1.002
0.585419307,-0.0061,0.9941,0.1273,1.002
0.586836076,-0.0020,0.9941,0.1319,1.003
0.587726307,-0.0002,0.9936,0.1339,1.003
0.588610538,0.0029,0.9924,0.1373,1.002
0.591155153,0.0076,0.9914,0.1419,1.002
0.592783153,0.0090,0.9914,0.1454,1.002
0.594071807,0.0120,0.9909,0.1517,1.003
0.595771038,0.0139,0.9902,0.1576,1.003
0.597900423,0.0154,0.9882,0.1603,1.001
0.599695307,0.0169,0.9868,0.1661,1.001
0.601769269,0.0169,0.9870,0.1678,1.001
0.603798769,0.0188,0.9870,0.1715,1.002
0.605824846,0.0205,0.9850,0.1739,1.000
0.609340076,0.0222,0.9836,0.1749,0.999
0.610830461,0.0261,0.9814,0.1781,0.998
0.612375038,0.0266,0.9806,0.1793,0.997
0.613809615,0.0271,0.9811,0.1798,0.998
0.615699346,0.0286,0.9794,0.1818,0.997
0.617840499,0.0288,0.9787,0.1823,0.996
0.619648884,0.0313,0.9784,0.1810,0.996
0.621777038,0.0322,0.9762,0.1810,0.993
0.623587961,0.0325,0.9767,0.1805,0.994
0.626668384,0.0352,0.9780,0.1798,0.995
0.627938615,0.0366,0.9770,0.1798,0.994
0.629498423,0.0364,0.9758,0.1793,0.993
0.631349846,0.0401,0.9760,0.1766,0.993
0.633404769,0.0398,0.9767,0.1749,0.993
0.635365692,0.0401,0.9755,0.1722,0.991
0.637417923,0.0403,0.9743,0.1698,0.990
0.63951873,0.0403,0.9736,0.1681,0.989
0.641314192,0.0418,0.9733,0.1666,0.988
0.650148346,0.0420,0.9733,0.1661,0.988
0.651610769,0.0425,0.9745,0.1630,0.989
0.652685346,0.0415,0.9760,0.1588,0.990
0.653943576,0.0406,0.9767,0.1568,0.990
0.655160653,0.0403,0.9760,0.1554,0.989
0.656174846,0.0386,0.9767,0.1559,0.990
0.657052961,0.0376,0.9767,0.1551,0.990
0.657854269,0.0381,0.9758,0.1507,0.988
0.671404884,0.0374,0.9760,0.1485,0.988
0.671855846,0.0374,0.9767,0.1446,0.988
0.672096653,0.0362,0.9777,0.1424,0.989
0.672335115,0.0352,0.9777,0.1412,0.988
0.672568846,0.0359,0.9780,0.1407,0.989
0.672806653,0.0364,0.9784,0.1410,0.989
0.673025153,0.0359,0.9789,0.1417,0.990
0.673310076,0.0330,0.9794,0.1402,0.990
0.679625922,0.0322,0.9797,0.1410,0.990
0.680038384,0.0303,0.9806,0.1424,0.991
0.680290692,0.0315,0.9811,0.1415,0.992
0.680851076,0.0318,0.9819,0.1417,0.993
0.682691961,0.0313,0.9843,0.1429,0.995
0.684683999,0.0315,0.9855,0.1441,0.997
0.686605692,0.0320,0.9853,0.1439,0.996
0.68876573,0.0313,0.9870,0.1454,0.998
0.690655807,0.0318,0.9880,0.1466,0.999
0.692628153,0.0320,0.9882,0.1473,1.000
0.694636153,0.0318,0.9899,0.1493,1.002
0.696570846,0.0335,0.9916,0.1534,1.004
0.698512846,0.0337,0.9916,0.1561,1.004
0.700525884,0.0330,0.9931,0.1576,1.006
0.702761576,0.0340,0.9921,0.1593,1.005
0.704390461,0.0354,0.9919,0.1610,1.005
0.706513615,0.0352,0.9912,0.1615,1.005
0.709974461,0.0364,0.9909,0.1642,1.005
0.711253115,0.0379,0.9897,0.1644,1.004
0.713242422,0.0376,0.9902,0.1644,1.004
0.714499384,0.0388,0.9904,0.1644,1.005
0.716367884,0.0386,0.9907,0.1642,1.005
0.718200807,0.0386,0.9902,0.1644,1.004
0.72010173,0.0401,0.9902,0.1649,1.005
0.722187115,0.0398,0.9892,0.1637,1.003
0.724223846,0.0396,0.9887,0.1630,1.003
0.726978807,0.0398,0.9885,0.1634,1.003
0.728348499,0.0413,0.9880,0.1627,1.002
0.730118115,0.0408,0.9872,0.1639,1.002
0.732343692,0.0413,0.9870,0.1644,1.001
0.734131422,0.0391,0.9870,0.1634,1.001
0.736236653,0.0393,0.9865,0.1642,1.001
0.73806473,0.0396,0.9850,0.1654,1.000
0.740025692,0.0393,0.9836,0.1673,0.998
0.750204038,0.0396,0.9841,0.1673,0.999
0.751599461,0.0359,0.9816,0.1669,0.996
0.752576192,0.0354,0.9799,0.1642,0.994
0.753698884,0.0352,0.9802,0.1639,0.994
0.754884576,0.0362,0.9814,0.1612,0.995
0.755974653,0.0352,0.9809,0.1600,0.994
0.756917884,0.0357,0.9797,0.1578,0.993
0.75806773,0.0313,0.9797,0.1549,0.992
0.759021961,0.0303,0.9792,0.1527,0.991
0.760214038,0.0305,0.9792,0.1507,0.991
0.773347115,0.0288,0.9787,0.1485,0.990
0.775254192,0.0286,0.9794,0.1476,0.991
0.776751845,0.0264,0.9802,0.1444,0.991
0.778326461,0.0261,0.9789,0.1422,0.990
0.779565961,0.0244,0.9787,0.1395,0.989
0.781275615,0.0249,0.9775,0.1400,0.988
0.782407192,0.0239,0.9777,0.1400,0.988
0.78352323,0.0237,0.9760,0.1358,0.986
0.784449769,0.0225,0.9772,0.1361,0.987
0.785894615,0.0208,0.9775,0.1349,0.987
0.787302576,0.0188,0.9777,0.1334,0.987
0.788459345,0.0171,0.9780,0.1329,0.987
0.789893076,0.0154,0.9770,0.1319,0.986
0.791225999,0.0132,0.9777,0.1314,0.987
0.792515115,0.0110,0.9775,0.1307,0.986
0.793904538,0.0086,0.9777,0.1300,0.986
0.794266461,0.0073,0.9777,0.1300,0.986
0.796193884,0.0061,0.9772,0.1290,0.986
0.797793307,0.0032,0.9784,0.1280,0.987
0.803957192,0.0037,0.9784,0.1285,0.987
0.804448153,0.0029,0.9792,0.1278,0.987
0.804724999,-0.0007,0.9797,0.1280,0.988
0.805397999,-0.0017,0.9804,0.1283,0.989
0.807165922,-0.0051,0.9811,0.1283,0.989
0.810054038,-0.0068,0.9816,0.1295,0.990
0.811447153,-0.0054,0.9838,0.1297,0.992
0.814261884,-0.0051,0.9858,0.1305,0.994
0.815091345,-0.0066,0.9860,0.1307,0.995
0.817092038,-0.0071,0.9841,0.1312,0.993
0.819038115,-0.0081,0.9863,0.1319,0.995
0.821039961,-0.0090,0.9860,0.1314,0.995
0.823034538,-0.0112,0.9865,0.1334,0.996
0.826816422,-0.0127,0.9875,0.1346,0.997
0.827561115,-0.0122,0.9868,0.1358,0.996
0.828928076,-0.0120,0.9868,0.1366,0.996
0.831173576,-0.0127,0.9877,0.1378,0.997
0.832935807,-0.0139,0.9899,0.1397,1.000
0.835074115,-0.0151,0.9909,0.1405,1.001
0.836890845,-0.0161,0.9904,0.1415,1.001
0.839142307,-0.0159,0.9904,0.1441,1.001
0.841017076,-0.0166,0.9904,0.1446,1.001
0.845640769,-0.0176,0.9897,0.1454,1.000
0.846280884,-0.0213,0.9902,0.1459,1.001
0.846815115,-0.0215,0.9914,0.1478,1.003
0.84869123,-0.0210,0.9929,0.1493,1.004
0.850926384,-0.0198,0.9929,0.1512,1.005
0.852681499,-0.0195,0.9919,0.1524,1.004
0.854788845,-0.0215,0.9907,0.1542,1.003
0.856752769,-0.0217,0.9907,0.1549,1.003
0.870195807,-0.0205,0.9914,0.1556,1.004
0.870919922,-0.0200,0.9899,0.1559,1.002
0.871211922,-0.0205,0.9894,0.1566,1.002
0.871485922,-0.0195,0.9904,0.1583,1.003
0.871725576,-0.0171,0.9931,0.1605,1.006
0.871972499,-0.0159,0.9931,0.1608,1.006
0.872215307,-0.0151,0.9931,0.1622,1.006
0.880358999,-0.0147,0.9924,0.1620,1.006
0.881192807,-0.0151,0.9904,0.1620,1.004
0.881531538,-0.0137,0.9902,0.1608,1.003
0.881829807,-0.0129,0.9897,0.1603,1.003
0.882090422,-0.0103,0.9894,0.1603,1.002
0.882427192,-0.0098,0.9892,0.1600,1.002
0.884432999,-0.0086,0.9892,0.1595,1.002
0.886583115,-0.0073,0.9907,0.1603,1.004
0.888289268,-0.0068,0.9897,0.1603,1.003
0.890566076,-0.0056,0.9894,0.1595,1.002
0.893543192,-0.0044,0.9904,0.1581,1.003
0.895528692,-0.0039,0.9897,0.1583,1.002
0.896171538,-0.0034,0.9870,0.1581,1.000
0.898273768,-0.0029,0.9858,0.1568,0.998
0.900128422,-0.0010,0.9860,0.1566,0.998
0.902185615,-0.0015,0.9868,0.1559,0.999
0.904151576,-0.0007,0.9865,0.1568,0.999
0.906268999,0.0024,0.9841,0.1573,0.997
