time,gFx,gFy,gFz,TgF
0.003215962,0.0340,0.9865,0.0511,0.988
0.003661693,0.0279,0.9897,0.0589,0.992
0.003935577,0.0257,0.9902,0.0643,0.993
0.004196308,0.0237,0.9914,0.0677,0.994
0.004437154,0.0176,0.9936,0.0774,0.997
0.004669077,0.0120,0.9965,0.0877,1.000
0.006354,0.0103,0.9973,0.0926,1.002
0.011392039,0.0059,0.9982,0.1024,1.003
0.011971,0.0034,0.9995,0.1073,1.005
0.012264731,0.0015,1.0014,0.1187,1.008
0.0143415,-0.0024,1.0012,0.1290,1.009
0.016174116,-0.0039,1.0029,0.1339,1.012
0.018234923,-0.0061,1.0034,0.1422,1.013
0.020087193,-0.0076,1.0031,0.1451,1.014
0.021988616,-0.0110,1.0004,0.1544,1.012
0.026261616,-0.0125,1.0004,0.1649,1.014
0.026768923,-0.0127,0.9995,0.1691,1.014
0.027904308,-0.0159,0.9973,0.1747,1.013
0.030004,-0.0178,0.9970,0.1803,1.013
0.031840577,-0.0176,0.9968,0.1823,1.013
0.033998577,-0.0193,0.9951,0.1859,1.012
0.035790423,-0.0220,0.9948,0.1876,1.013
0.037770385,-0.0235,0.9931,0.1891,1.011
0.039750692,-0.0271,0.9909,0.1910,1.010
0.042103077,-0.0271,0.9892,0.1932,1.008
0.045055192,-0.0279,0.9880,0.1947,1.007
0.045952,-0.0274,0.9877,0.1962,1.007
0.047652116,-0.0281,0.9863,0.1945,1.006
0.049620269,-0.0310,0.9855,0.1950,1.005
0.051533077,-0.0318,0.9828,0.1940,1.002
0.053517231,-0.0320,0.9833,0.1940,1.003
0.055518462,-0.0318,0.9833,0.1940,1.003
0.058304231,-0.0313,0.9838,0.1930,1.003
0.059652769,-0.0322,0.9836,0.1915,1.003
0.063397192,-0.0288,0.9828,0.1906,1.002
0.064143116,-0.0286,0.9831,0.1893,1.002
0.066359423,-0.0293,0.9848,0.1906,1.003
0.067535077,-0.0276,0.9826,0.1876,1.001
0.0694945,-0.0264,0.9826,0.1862,1.000
0.071396692,-0.0232,0.9811,0.1849,0.999
0.074817385,-0.0227,0.9811,0.1830,0.998
0.076485769,-0.0230,0.9814,0.1815,0.998
0.077359192,-0.0217,0.9819,0.1769,0.998
0.079382154,-0.0220,0.9821,0.1759,0.998
0.081317885,-0.0210,0.9843,0.1752,1.000
0.083197885,-0.0220,0.9821,0.1715,0.997
0.085162654,-0.0213,0.9826,0.1700,0.997
0.087189462,-0.0191,0.9816,0.1676,0.996
0.089250385,-0.0193,0.9814,0.1671,0.996
0.100705346,-0.0181,0.9838,0.1642,0.998
0.101199116,-0.0171,0.9833,0.1654,0.997
0.101446346,-0.0159,0.9826,0.1647,0.996
0.101677616,-0.0134,0.9826,0.1637,0.996
0.101964539,-0.0103,0.9833,0.1666,0.997
0.102196231,-0.0095,0.9838,0.1664,0.998
0.102715039,-0.0095,0.9850,0.1649,0.999
0.105018039,-0.0098,0.9848,0.1654,0.999
0.106841731,-0.0107,0.9863,0.1673,1.000
0.109077039,-0.0112,0.9875,0.1673,1.002
0.110744539,-0.0098,0.9875,0.1678,1.002
0.112871616,-0.0103,0.9885,0.1678,1.003
0.114675539,-0.0125,0.9899,0.1666,1.004
0.116622385,-0.0120,0.9916,0.1676,1.006
0.118562616,-0.0120,0.9963,0.1649,1.010
0.120708692,-0.0115,0.9980,0.1656,1.012
0.122534962,-0.0134,0.9960,0.1639,1.010
0.138382692,-0.0149,0.9963,0.1615,1.009
0.139094116,-0.0156,0.9955,0.1598,1.008
0.139521923,-0.0156,0.9931,0.1546,1.005
0.139898962,-0.0161,0.9931,0.1498,1.004
0.140264731,-0.0161,0.9938,0.1468,1.005
0.140653923,-0.0183,0.9938,0.1405,1.004
0.141039577,-0.0188,0.9933,0.1344,1.003
0.141452462,-0.0193,0.9926,0.1314,1.001
0.141870692,-0.0200,0.9929,0.1241,1.001
0.1483715,-0.0191,0.9926,0.1229,1.000
0.149038077,-0.0200,0.9916,0.1197,0.999
0.149440846,-0.0203,0.9919,0.1153,0.999
0.150026423,-0.0200,0.9926,0.1146,0.999
0.150551231,-0.0181,0.9894,0.1099,0.996
0.152350462,-0.0178,0.9880,0.1065,0.994
0.154240077,-0.0169,0.9880,0.1016,0.993
0.156164885,-0.0164,0.9880,0.0945,0.993
0.159312539,-0.0159,0.9882,0.0919,0.993
0.160393846,-0.0129,0.9880,0.0872,0.992
0.161922692,-0.0120,0.9868,0.0850,0.990
0.163965462,-0.0112,0.9863,0.0853,0.990
0.165927269,-0.0098,0.9863,0.0833,0.990
0.167943385,-0.0086,0.9865,0.0845,0.990
0.169740654,-0.0046,0.9863,0.0867,0.990
0.171736115,-0.0027,0.9846,0.0965,0.989
0.183441039,-0.0012,0.9846,0.1019,0.990
0.184129,0.0010,0.9841,0.1124,0.990
0.184446769,0.0010,0.9843,0.1195,0.992
0.184738385,0.0012,0.9848,0.1317,0.994
0.185012308,0.0020,0.9855,0.1429,0.996
0.185264615,0.0027,0.9846,0.1480,0.996
0.185524269,0.0039,0.9846,0.1571,0.997
0.187452539,0.0022,0.9843,0.1632,0.998
0.1893725,0.0005,0.9843,0.1661,0.998
0.191857346,0.0002,0.9828,0.1713,0.998
0.196012962,-0.0002,0.9841,0.1720,0.999
0.196551231,-0.0007,0.9843,0.1722,0.999
0.197264,-0.0020,0.9838,0.1722,0.999
0.1996035,-0.0027,0.9850,0.1705,1.000
0.201196769,-0.0032,0.9846,0.1703,0.999
0.203744462,-0.0066,0.9836,0.1678,0.998
0.207238154,-0.0093,0.9836,0.1659,0.998
0.207835462,-0.0100,0.9841,0.1625,0.997
0.210885115,-0.0125,0.9838,0.1625,0.997
0.211486654,-0.0169,0.9831,0.1610,0.996
0.2164955,-0.0193,0.9833,0.1583,0.996
0.217112885,-0.0210,0.9816,0.1578,0.994
0.217409192,-0.0222,0.9809,0.1556,0.993
0.218915654,-0.0237,0.9802,0.1554,0.993
0.220809115,-0.0235,0.9797,0.1546,0.992
0.222947039,-0.0225,0.9802,0.1549,0.993
0.225651039,-0.0213,0.9802,0.1529,0.992
0.229991269,-0.0208,0.9792,0.1500,0.991
0.231630039,-0.0205,0.9762,0.1476,0.988
0.231955192,-0.0191,0.9750,0.1463,0.986
0.232709885,-0.0164,0.9721,0.1437,0.983
0.234742346,-0.0139,0.9682,0.1427,0.979
0.236636,-0.0125,0.9679,0.1415,0.978
0.238740962,-0.0120,0.9648,0.1397,0.975
0.242350192,-0.0110,0.9635,0.1390,0.974
0.246789885,-0.0090,0.9628,0.1358,0.972
0.248210462,-0.0068,0.9626,0.1368,0.972
0.248547346,-0.0056,0.9611,0.1363,0.971
0.248825615,-0.0032,0.9582,0.1368,0.968
0.250465654,-0.0029,0.9577,0.1351,0.967
0.252519308,-0.0020,0.9584,0.1344,0.968
0.254575462,0.0022,0.9601,0.1344,0.969
0.256402538,0.0027,0.9594,0.1344,0.969
0.258930692,0.0034,0.9599,0.1341,0.969
0.263255692,0.0042,0.9599,0.1336,0.969
0.264689115,0.0044,0.9599,0.1331,0.969
0.265023038,0.0061,0.9613,0.1324,0.970
0.26624,0.0066,0.9633,0.1297,0.972
0.268149615,0.0081,0.9643,0.1290,0.973
0.270339,0.0078,0.9677,0.1258,0.976
0.272146269,0.0076,0.9682,0.1241,0.976
0.275730923,0.0083,0.9714,0.1244,0.979
0.279836731,0.0083,0.9716,0.1234,0.979
0.281428308,0.0076,0.9704,0.1224,0.978
0.281766808,0.0071,0.9704,0.1226,0.978
0.282083731,0.0073,0.9723,0.1226,0.980
0.283948346,0.0068,0.9740,0.1226,0.982
0.286081538,0.0061,0.9760,0.1258,0.984
0.287964962,0.0046,0.9777,0.1261,0.986
0.289937269,0.0032,0.9814,0.1287,0.990
0.298953038,0.0032,0.9826,0.1324,0.991
0.299459769,0.0017,0.9831,0.1341,0.992
0.299725423,-0.0002,0.9843,0.1361,0.994
0.299987846,-0.0034,0.9855,0.1402,0.995
0.300238538,-0.0059,0.9870,0.1432,0.997
0.302084038,-0.0073,0.9887,0.1478,1.000
0.303785654,-0.0073,0.9887,0.1515,1.000
0.305792,-0.0107,0.9912,0.1554,1.003
0.308548462,-0.0127,0.9907,0.1605,1.004
0.310980577,-0.0154,0.9912,0.1627,1.005
0.311702115,-0.0176,0.9921,0.1673,1.006
0.313660615,-0.0205,0.9938,0.1739,1.009
0.316201615,-0.0237,0.9941,0.1761,1.010
0.317589346,-0.0264,0.9946,0.1771,1.011
0.319491385,-0.0276,0.9960,0.1788,1.012
0.321619115,-0.0300,0.9973,0.1845,1.015
0.323780423,-0.0327,0.9970,0.1903,1.016
0.325620462,-0.0337,0.9973,0.1901,1.016
0.327445962,-0.0344,0.9973,0.1898,1.016
0.329426192,-0.0369,0.9938,0.1920,1.013
0.331285731,-0.0379,0.9931,0.1925,1.012
0.333354269,-0.0420,0.9921,0.1954,1.012
0.3352425,-0.0410,0.9933,0.1964,1.013
0.337196923,-0.0415,0.9946,0.1962,1.015
0.339153462,-0.0415,0.9943,0.1935,1.014
0.341622154,-0.0415,0.9953,0.1923,1.015
0.343220692,-0.0423,0.9958,0.1906,1.015
0.345266538,-0.0403,0.9955,0.1886,1.014
0.347372231,-0.0401,0.9953,0.1888,1.014
0.349249154,-0.0391,0.9973,0.1854,1.015
0.351122731,-0.0388,0.9980,0.1842,1.016
0.353109346,-0.0388,0.9975,0.1823,1.015
0.354985462,-0.0388,0.9973,0.1786,1.014
0.357448731,-0.0374,0.9973,0.1776,1.014
0.360197038,-0.0374,0.9982,0.1752,1.014
0.361090654,-0.0393,0.9987,0.1710,1.014
0.363177,-0.0398,0.9980,0.1693,1.013
0.365454615,-0.0401,0.9982,0.1666,1.013
0.367000731,-0.0413,0.9968,0.1627,1.011
0.368946577,-0.0410,0.9955,0.1605,1.009
0.370956654,-0.0406,0.9943,0.1573,1.008
0.372999846,-0.0379,0.9931,0.1573,1.006
0.378334615,-0.0366,0.9921,0.1544,1.005
0.379015731,-0.0320,0.9907,0.1534,1.003
0.379307769,-0.0313,0.9909,0.1522,1.003
0.381101769,-0.0291,0.9912,0.1512,1.003
0.382798923,-0.0249,0.9892,0.1498,1.001
0.385690846,-0.0247,0.9885,0.1495,1.000
0.386719615,-0.0220,0.9890,0.1502,1.001
0.388790154,-0.0222,0.9882,0.1498,1.000
0.390714154,-0.0215,0.9870,0.1493,0.998
0.400749731,-0.0208,0.9855,0.1498,0.997
0.401636038,-0.0208,0.9843,0.1505,0.996
0.401990538,-0.0208,0.9828,0.1507,0.995
0.402261038,-0.0203,0.9802,0.1520,0.992
0.402502577,-0.0200,0.9784,0.1544,0.991
0.402767731,-0.0186,0.9753,0.1551,0.988
0.404818538,-0.0176,0.9750,0.1554,0.987
0.406298731,-0.0183,0.9753,0.1564,0.988
0.408920923,-0.0193,0.9743,0.1593,0.987
0.414707654,-0.0191,0.9740,0.1581,0.987
0.4156995,-0.0198,0.9738,0.1561,0.986
0.416048077,-0.0210,0.9750,0.1551,0.988
0.416300615,-0.0213,0.9748,0.1529,0.987
