time,gFx,gFy,gFz,TgF
0.004885462,0.0880,0.9909,0.0012,0.995
0.005411577,0.0880,0.9909,0.0044,0.995
0.005750923,0.0882,0.9912,0.0076,0.995
0.00611927,0.0880,0.9904,0.0100,0.994
0.006506423,0.0875,0.9907,0.0110,0.995
0.006855962,0.0875,0.9914,0.0120,0.995
0.007211077,0.0880,0.9916,0.0134,0.996
0.010135077,0.0872,0.9919,0.0147,0.996
0.010756885,0.0875,0.9909,0.0149,0.995
0.01246627,0.0867,0.9899,0.0191,0.994
0.015822962,0.0867,0.9904,0.0198,0.994
0.01641427,0.0877,0.9916,0.0191,0.996
0.018378231,0.0867,0.9909,0.0203,0.995
0.020297347,0.0858,0.9912,0.0210,0.995
0.022114154,0.0853,0.9936,0.0215,0.997
0.024190193,0.0850,0.9931,0.0222,0.997
0.034575923,0.0845,0.9943,0.0203,0.998
0.035220654,0.0836,0.9955,0.0188,0.999
0.035574462,0.0831,0.9951,0.0191,0.999
0.035969385,0.0833,0.9953,0.0208,0.999
0.0363185,0.0818,0.9982,0.0208,1.002
0.036657616,0.0818,0.9982,0.0208,1.002
0.037914077,0.0823,0.9997,0.0203,1.003
0.039849193,0.0823,0.9997,0.0205,1.003
0.04300577,0.0831,0.9999,0.0217,1.004
0.045954847,0.0806,1.0007,0.0217,1.004
0.046513923,0.0801,1.0004,0.0215,1.004
0.048076,0.0801,1.0021,0.0215,1.006
0.049901308,0.0792,1.0026,0.0220,1.006
0.052689808,0.0794,1.0017,0.0217,1.005
0.053762847,0.0782,1.0021,0.0232,1.005
0.055981962,0.0774,1.0024,0.0242,1.006
0.057868539,0.0777,1.0012,0.0247,1.004
0.074835077,0.0779,1.0021,0.0264,1.006
0.075519808,0.0784,1.0009,0.0264,1.004
0.075842154,0.0787,1.0007,0.0274,1.004
0.076198616,0.0789,1.0009,0.0271,1.004
0.076453077,0.0779,1.0002,0.0257,1.004
0.076869154,0.0799,0.9985,0.0247,1.002
0.077267962,0.0792,0.9977,0.0244,1.001
0.077538462,0.0794,0.9975,0.0254,1.001
0.077801885,0.0799,0.9965,0.0237,1.000
0.078098385,0.0801,0.9958,0.0237,0.999
0.082645654,0.0818,0.9943,0.0235,0.998
0.083285347,0.0816,0.9941,0.0235,0.998
0.083630231,0.0811,0.9921,0.0239,0.996
0.085353885,0.0818,0.9909,0.0217,0.995
0.087519462,0.0821,0.9912,0.0200,0.995
0.089299693,0.0821,0.9902,0.0198,0.994
0.091227577,0.0823,0.9912,0.0193,0.995
0.093811731,0.0838,0.9921,0.0181,0.996
0.095290577,0.0826,0.9894,0.0191,0.993
0.097203,0.0831,0.9892,0.0191,0.993
0.099235654,0.0836,0.9892,0.0195,0.993
0.101107,0.0833,0.9887,0.0191,0.992
0.103083231,0.0838,0.9892,0.0191,0.993
0.10504277,0.0843,0.9890,0.0198,0.993
0.106990654,0.0853,0.9882,0.0213,0.992
0.119079885,0.0850,0.9880,0.0217,0.992
0.119680962,0.0855,0.9882,0.0213,0.992
0.120056923,0.0843,0.9885,0.0225,0.992
0.120338577,0.0840,0.9882,0.0239,0.992
0.120599808,0.0845,0.9872,0.0249,0.991
0.120855539,0.0845,0.9865,0.0283,0.991
0.121118116,0.0831,0.9870,0.0281,0.991
0.122887808,0.0836,0.9882,0.0288,0.992
0.12492527,0.0853,0.9897,0.0303,0.994
0.127033539,0.0828,0.9890,0.0318,0.993
0.128780731,0.0818,0.9897,0.0327,0.994
0.13089027,0.0836,0.9907,0.0352,0.995
0.1328565,0.0838,0.9894,0.0364,0.994
0.134759193,0.0831,0.9890,0.0371,0.993
0.136731731,0.0821,0.9880,0.0384,0.992
0.138925308,0.0809,0.9875,0.0374,0.991
0.140780193,0.0823,0.9863,0.0384,0.990
0.16107427,0.0814,0.9863,0.0391,0.990
0.161668808,0.0826,0.9868,0.0393,0.991
0.162015308,0.0821,0.9868,0.0428,0.991
0.162265885,0.0811,0.9870,0.0445,0.991
0.162522154,0.0818,0.9875,0.0452,0.992
0.162766616,0.0826,0.9858,0.0442,0.990
0.163019,0.0826,0.9850,0.0457,0.990
0.163274308,0.0833,0.9863,0.0481,0.991
0.163516808,0.0821,0.9865,0.0472,0.991
0.163773039,0.0821,0.9858,0.0467,0.990
0.16411877,0.0821,0.9870,0.0464,0.991
0.164424577,0.0814,0.9875,0.0467,0.992
0.166593846,0.0828,0.9877,0.0440,0.992
0.168409,0.0826,0.9892,0.0403,0.993
0.170313731,0.0826,0.9894,0.0391,0.994
0.172347885,0.0831,0.9909,0.0362,0.995
0.17414727,0.0823,0.9921,0.0354,0.996
0.183027308,0.0809,0.9958,0.0349,1.000
0.183523346,0.0804,0.9973,0.0325,1.001
0.183790077,0.0809,0.9992,0.0310,1.003
0.184085577,0.0796,1.0014,0.0296,1.005
0.184328616,0.0789,1.0012,0.0271,1.005
0.1860495,0.0779,1.0012,0.0274,1.005
0.188052616,0.0774,1.0046,0.0239,1.008
0.189971039,0.0772,1.0063,0.0232,1.010
0.199841808,0.0767,1.0068,0.0220,1.010
0.200429154,0.0762,1.0070,0.0200,1.010
0.200703654,0.0757,1.0061,0.0178,1.009
0.200974693,0.0762,1.0061,0.0149,1.009
0.201219539,0.0767,1.0061,0.0122,1.009
0.201788808,0.0770,1.0036,0.0086,1.007
0.203803346,0.0782,1.0031,0.0032,1.006
0.205779693,0.0787,1.0024,-0.0002,1.005
0.207698308,0.0806,0.9999,-0.0039,1.003
0.216509269,0.0809,0.9968,-0.0076,1.000
0.217083693,0.0809,0.9960,-0.0088,0.999
0.217413462,0.0821,0.9968,-0.0093,1.000
0.217756269,0.0828,0.9960,-0.0095,1.000
0.218040077,0.0843,0.9953,-0.0098,0.999
0.219608193,0.0850,0.9936,-0.0044,0.997
0.221616693,0.0843,0.9933,-0.0034,0.997
0.2235635,0.0840,0.9921,0.0000,0.996
0.255510616,0.0831,0.9921,0.0044,0.996
0.256346731,0.0831,0.9912,0.0071,0.995
0.256763923,0.0833,0.9899,0.0127,0.994
0.257076962,0.0826,0.9899,0.0154,0.993
0.257354885,0.0814,0.9894,0.0217,0.993
0.257606846,0.0814,0.9897,0.0266,0.993
0.257866693,0.0804,0.9899,0.0281,0.994
0.258138808,0.0801,0.9875,0.0327,0.991
0.258498731,0.0794,0.9868,0.0381,0.991
0.258820346,0.0782,0.9880,0.0401,0.992
0.259144077,0.0789,0.9885,0.0447,0.993
0.261949693,0.0794,0.9882,0.0459,0.992
0.262757846,0.0787,0.9865,0.0486,0.991
0.263228,0.0772,0.9863,0.0476,0.990
0.263610039,0.0772,0.9868,0.0493,0.991
0.264040923,0.0784,0.9858,0.0498,0.990
0.264382731,0.0784,0.9853,0.0491,0.990
0.264946346,0.0787,0.9868,0.0493,0.991
0.265323077,0.0787,0.9875,0.0491,0.992
0.265677923,0.0787,0.9880,0.0484,0.992
0.266072962,0.0787,0.9885,0.0457,0.993
0.267217,0.0804,0.9880,0.0447,0.992
0.269179,0.0804,0.9882,0.0435,0.992
0.271124423,0.0814,0.9870,0.0406,0.991
0.273165885,0.0811,0.9882,0.0364,0.992
0.275214269,0.0818,0.9882,0.0344,0.992
0.277230346,0.0814,0.9892,0.0303,0.993
0.279265193,0.0816,0.9899,0.0291,0.994
0.281143693,0.0821,0.9933,0.0274,0.997
0.283080154,0.0818,0.9941,0.0244,0.998
0.285049616,0.0826,0.9929,0.0227,0.997
0.286961154,0.0814,0.9943,0.0210,0.998
0.288951577,0.0799,0.9951,0.0181,0.998
0.290944,0.0811,0.9960,0.0178,0.999
0.293470539,0.0818,0.9958,0.0188,0.999
0.295265308,0.0816,0.9965,0.0186,1.000
0.296986231,0.0809,0.9982,0.0171,1.002
0.298887077,0.0804,0.9985,0.0161,1.002
0.300874808,0.0804,0.9992,0.0164,1.003
0.302753308,0.0818,0.9995,0.0154,1.003
0.304815346,0.0816,0.9987,0.0156,1.002
0.3067095,0.0792,0.9987,0.0186,1.002
0.310087077,0.0816,0.9999,0.0198,1.003
0.310683654,0.0828,0.9999,0.0208,1.004
0.312730539,0.0840,0.9987,0.0230,1.003
0.314663885,0.0823,0.9980,0.0254,1.002
0.316590692,0.0831,0.9977,0.0274,1.002
0.318529039,0.0845,0.9960,0.0291,1.000
0.320537116,0.0843,0.9955,0.0300,1.000
0.322441731,0.0867,0.9963,0.0310,1.001
0.3244685,0.0875,0.9946,0.0318,0.999
0.335297731,0.0872,0.9938,0.0332,0.998
0.335979231,0.0880,0.9926,0.0344,0.997
0.336336346,0.0880,0.9921,0.0359,0.997
0.336623654,0.0889,0.9907,0.0384,0.995
0.336894692,0.0892,0.9887,0.0369,0.993
0.337151116,0.0892,0.9880,0.0379,0.993
0.338121308,0.0887,0.9885,0.0386,0.993
0.3402235,0.0892,0.9882,0.0396,0.993
0.343257577,0.0909,0.9882,0.0408,0.993
0.344242154,0.0899,0.9875,0.0413,0.992
0.346182385,0.0894,0.9875,0.0403,0.992
0.348244154,0.0884,0.9865,0.0396,0.991
0.350081,0.0875,0.9855,0.0413,0.990
0.352238769,0.0882,0.9860,0.0413,0.991
0.354207692,0.0892,0.9880,0.0386,0.993
0.356259846,0.0884,0.9880,0.0379,0.993
0.357939308,0.0882,0.9870,0.0379,0.992
0.371476192,0.0892,0.9863,0.0362,0.991
0.372212692,0.0892,0.9863,0.0344,0.991
0.372536423,0.0897,0.9880,0.0322,0.993
