time,gFx,gFy,gFz,TgF
0.004219308,-0.0484,0.9726,0.1798,0.990
0.004683923,-0.0498,0.9723,0.1874,0.991
0.004940923,-0.0511,0.9755,0.1910,0.995
0.005175692,-0.0550,0.9758,0.2001,0.998
0.005409154,-0.0562,0.9767,0.2023,0.999
0.005685039,-0.0603,0.9797,0.2077,1.003
0.007451577,-0.0621,0.9814,0.2143,1.006
0.011803308,-0.0628,0.9833,0.2165,1.009
0.012528769,-0.0628,0.9841,0.2189,1.010
0.013542962,-0.0603,0.9843,0.2191,1.010
0.015361192,-0.0584,0.9850,0.2204,1.011
0.017344885,-0.0559,0.9853,0.2184,1.011
0.019252808,-0.0545,0.9863,0.2162,1.011
0.021287846,-0.0550,0.9855,0.2111,1.009
0.023193577,-0.0545,0.9853,0.2079,1.008
0.025362769,-0.0515,0.9858,0.2055,1.008
0.029847885,-0.0479,0.9863,0.2013,1.008
0.030673,-0.0472,0.9870,0.1962,1.007
0.031044962,-0.0459,0.9875,0.1898,1.007
0.033081923,-0.0454,0.9872,0.1874,1.006
0.034943462,-0.0418,0.9870,0.1825,1.005
0.036989539,-0.0406,0.9875,0.1761,1.004
0.038907116,-0.0391,0.9870,0.1739,1.003
0.040955616,-0.0369,0.9858,0.1705,1.001
0.052680077,-0.0359,0.9872,0.1647,1.002
0.053346692,-0.0357,0.9880,0.1608,1.002
0.053859154,-0.0313,0.9909,0.1583,1.004
0.054299423,-0.0303,0.9914,0.1566,1.004
0.054860846,-0.0274,0.9938,0.1546,1.006
0.055368192,-0.0264,0.9933,0.1539,1.006
0.055778462,-0.0242,0.9936,0.1542,1.006
0.058366231,-0.0215,0.9933,0.1546,1.006
0.058813116,-0.0205,0.9924,0.1534,1.004
0.060705039,-0.0183,0.9921,0.1559,1.004
0.062594423,-0.0193,0.9909,0.1595,1.004
0.064684577,-0.0195,0.9902,0.1620,1.004
0.066566577,-0.0151,0.9890,0.1642,1.003
0.068481808,-0.0147,0.9887,0.1686,1.003
0.0705965,-0.0154,0.9868,0.1705,1.001
0.072443692,-0.0166,0.9858,0.1791,1.002
0.074431923,-0.0178,0.9863,0.1827,1.003
0.093541039,-0.0183,0.9858,0.1920,1.004
0.094422615,-0.0191,0.9841,0.1967,1.004
0.094893692,-0.0200,0.9828,0.1994,1.003
0.095283077,-0.0198,0.9802,0.2050,1.002
0.095779769,-0.0210,0.9789,0.2069,1.001
0.096621154,-0.0200,0.9753,0.2118,0.998
0.097159769,-0.0213,0.9736,0.2145,0.997
0.097558039,-0.0220,0.9721,0.2155,0.996
0.098091731,-0.0230,0.9706,0.2169,0.995
0.098491692,-0.0252,0.9704,0.2174,0.995
0.098880539,-0.0259,0.9709,0.2172,0.995
0.099248423,-0.0257,0.9682,0.2165,0.992
0.102518077,-0.0261,0.9672,0.2162,0.991
0.103312077,-0.0274,0.9665,0.2162,0.991
0.104075731,-0.0286,0.9677,0.2145,0.992
0.106088039,-0.0296,0.9665,0.2138,0.990
0.107878,-0.0293,0.9675,0.2111,0.991
0.110873962,-0.0300,0.9687,0.2094,0.991
0.112633615,-0.0305,0.9694,0.2062,0.992
0.114022577,-0.0315,0.9704,0.2033,0.992
0.115822808,-0.0320,0.9704,0.2020,0.992
0.117766539,-0.0320,0.9704,0.2001,0.991
0.119762923,-0.0344,0.9719,0.1969,0.992
0.121696154,-0.0354,0.9726,0.1950,0.993
0.123655154,-0.0366,0.9719,0.1920,0.991
0.125572346,-0.0357,0.9723,0.1906,0.991
0.128336692,-0.0337,0.9743,0.1867,0.993
0.129820231,-0.0332,0.9740,0.1845,0.992
0.131650231,-0.0340,0.9736,0.1835,0.991
0.133451269,-0.0354,0.9760,0.1805,0.993
0.135515231,-0.0349,0.9760,0.1783,0.993
0.137440346,-0.0320,0.9762,0.1757,0.992
0.139477731,-0.0315,0.9745,0.1761,0.991
0.141443692,-0.0300,0.9753,0.1764,0.992
0.152267385,-0.0279,0.9755,0.1774,0.992
0.152960808,-0.0279,0.9767,0.1764,0.993
0.153330115,-0.0279,0.9767,0.1759,0.993
0.153686192,-0.0291,0.9765,0.1732,0.992
0.153959154,-0.0283,0.9755,0.1737,0.991
0.154226154,-0.0276,0.9750,0.1752,0.991
0.155166,-0.0298,0.9770,0.1742,0.993
0.157160539,-0.0300,0.9777,0.1747,0.994
0.159164462,-0.0315,0.9777,0.1757,0.994
0.162640692,-0.0327,0.9787,0.1771,0.995
0.163297577,-0.0332,0.9775,0.1769,0.994
0.165297308,-0.0349,0.9787,0.1774,0.995
0.167190308,-0.0366,0.9780,0.1783,0.995
0.169241539,-0.0391,0.9770,0.1783,0.994
0.172135692,-0.0415,0.9767,0.1788,0.994
0.173002115,-0.0425,0.9767,0.1801,0.994
0.1749305,-0.0430,0.9758,0.1810,0.993
0.189012769,-0.0428,0.9750,0.1818,0.993
0.189843154,-0.0440,0.9767,0.1830,0.995
0.190302846,-0.0454,0.9784,0.1830,0.996
0.190658385,-0.0452,0.9794,0.1832,0.997
0.190984269,-0.0459,0.9799,0.1852,0.998
0.191373077,-0.0464,0.9794,0.1864,0.998
0.191752038,-0.0464,0.9806,0.1879,1.000
0.192147769,-0.0486,0.9797,0.1867,0.998
0.192623115,-0.0496,0.9792,0.1859,0.998
0.1946105,-0.0511,0.9809,0.1859,1.000
0.196765615,-0.0506,0.9809,0.1859,1.000
0.198586231,-0.0489,0.9789,0.1859,0.998
0.200552192,-0.0489,0.9799,0.1869,0.999
0.202507577,-0.0493,0.9814,0.1867,1.000
0.204469231,-0.0501,0.9809,0.1867,1.000
0.206367538,-0.0496,0.9799,0.1879,0.999
0.208256115,-0.0496,0.9797,0.1881,0.999
0.211019038,-0.0493,0.9819,0.1864,1.001
0.212523154,-0.0493,0.9814,0.1869,1.000
0.214331692,-0.0496,0.9814,0.1869,1.000
0.216224308,-0.0493,0.9775,0.1864,0.996
0.218202462,-0.0481,0.9775,0.1852,0.996
0.220120538,-0.0489,0.9789,0.1857,0.998
0.222222385,-0.0496,0.9787,0.1849,0.997
0.224054385,-0.0491,0.9782,0.1854,0.997
0.2262255,-0.0484,0.9772,0.1854,0.996
0.228635885,-0.0476,0.9775,0.1857,0.996
0.230049231,-0.0491,0.9770,0.1857,0.996
0.232062654,-0.0498,0.9765,0.1857,0.995
0.234033846,-0.0501,0.9740,0.1849,0.993
0.235912,-0.0496,0.9738,0.1862,0.993
0.238024115,-0.0503,0.9748,0.1859,0.994
0.239859308,-0.0511,0.9736,0.1862,0.993
0.241867846,-0.0503,0.9733,0.1886,0.993
0.247139115,-0.0508,0.9740,0.1884,0.993
0.247748038,-0.0515,0.9736,0.1888,0.993
0.248212769,-0.0511,0.9736,0.1884,0.993
0.249910577,-0.0515,0.9723,0.1874,0.992
0.251552962,-0.0520,0.9721,0.1879,0.991
0.253731808,-0.0535,0.9723,0.1886,0.992
0.255561962,-0.0542,0.9726,0.1891,0.992
0.257824192,-0.0547,0.9723,0.1881,0.992
0.259500692,-0.0530,0.9714,0.1884,0.991
0.264040346,-0.0542,0.9726,0.1893,0.992
0.264626308,-0.0550,0.9728,0.1886,0.992
0.265369769,-0.0559,0.9721,0.1884,0.992
0.267374192,-0.0567,0.9726,0.1891,0.992
0.269418692,-0.0547,0.9738,0.1891,0.994
0.2714415,-0.0537,0.9731,0.1886,0.993
0.275672615,-0.0542,0.9740,0.1888,0.994
0.276182154,-0.0552,0.9755,0.1901,0.995
0.278099615,-0.0559,0.9748,0.1896,0.995
0.279091077,-0.0557,0.9748,0.1891,0.995
0.281140885,-0.0557,0.9745,0.1915,0.995
0.283022154,-0.0557,0.9738,0.1920,0.994
0.2849655,-0.0545,0.9750,0.1918,0.995
0.286817231,-0.0552,0.9745,0.1932,0.995
0.288705654,-0.0555,0.9748,0.1937,0.995
0.290654077,-0.0550,0.9755,0.1945,0.996
0.292660654,-0.0552,0.9765,0.1940,0.997
0.294794577,-0.0564,0.9750,0.1959,0.996
0.296865231,-0.0562,0.9767,0.1959,0.998
0.298701,-0.0552,0.9775,0.1969,0.999
0.300652538,-0.0550,0.9770,0.1974,0.998
0.3024935,-0.0542,0.9762,0.1969,0.997
0.3044985,-0.0547,0.9772,0.1959,0.998
0.306423846,-0.0552,0.9777,0.1976,0.999
0.308503808,-0.0559,0.9782,0.1979,1.000
0.311151154,-0.0552,0.9767,0.1972,0.998
0.312957308,-0.0547,0.9760,0.1976,0.997
0.314439808,-0.0552,0.9767,0.1967,0.998
0.316456654,-0.0562,0.9799,0.1952,1.001
0.318284231,-0.0552,0.9797,0.1957,1.001
0.320225731,-0.0555,0.9789,0.1959,1.000
0.322134769,-0.0550,0.9799,0.1950,1.001
0.324138231,-0.0545,0.9794,0.1950,1.000
0.326136346,-0.0540,0.9799,0.1950,1.001
0.330653308,-0.0537,0.9799,0.1940,1.000
0.331224423,-0.0535,0.9802,0.1920,1.000
0.332590346,-0.0537,0.9814,0.1920,1.001
0.334234115,-0.0533,0.9821,0.1913,1.002
0.336060654,-0.0518,0.9809,0.1884,1.000
0.338159808,-0.0508,0.9814,0.1893,1.001
0.341322654,-0.0498,0.9814,0.1879,1.000
0.341973231,-0.0501,0.9809,0.1886,1.000
0.3477705,-0.0491,0.9806,0.1891,1.000
0.348375154,-0.0479,0.9804,0.1879,0.999
0.348691846,-0.0454,0.9799,0.1879,0.999
0.349877923,-0.0457,0.9804,0.1884,0.999
0.352034577,-0.0459,0.9811,0.1871,1.000
0.353700115,-0.0440,0.9804,0.1874,0.999
0.355686231,-0.0425,0.9806,0.1862,0.999
0.357652731,-0.0420,0.9792,0.1862,0.998
0.359661692,-0.0420,0.9789,0.1867,0.997
0.361712154,-0.0406,0.9797,0.1869,0.998
0.363749885,-0.0396,0.9799,0.1867,0.998
0.365711731,-0.0396,0.9784,0.1874,0.997
0.367569808,-0.0386,0.9787,0.1913,0.998
0.369539538,-0.0376,0.9775,0.1923,0.997
0.371597269,-0.0371,0.9758,0.1906,0.995
0.37349,-0.0369,0.9740,0.1886,0.993
0.375480308,-0.0354,0.9743,0.1869,0.993
0.3775585,-0.0349,0.9770,0.1845,0.995
0.379668885,-0.0332,0.9777,0.1810,0.995
0.381539308,-0.0330,0.9755,0.1786,0.992
0.383465538,-0.0320,0.9753,0.1744,0.991
0.385304731,-0.0320,0.9753,0.1730,0.991
0.387248385,-0.0305,0.9762,0.1688,0.991
0.389189961,-0.0303,0.9767,0.1661,0.991
0.391195961,-0.0308,0.9772,0.1661,0.992
0.394077808,-0.0318,0.9784,0.1686,0.993
0.395499192,-0.0313,0.9794,0.1698,0.995
0.397160346,-0.0318,0.9804,0.1720,0.996
0.399237384,-0.0327,0.9809,0.1727,0.997
0.401042884,-0.0327,0.9804,0.1754,0.997
0.403020269,-0.0308,0.9806,0.1776,0.997
0.404932923,-0.0298,0.9814,0.1788,0.998
0.406964577,-0.0276,0.9814,0.1815,0.998
0.408872192,-0.0281,0.9804,0.1857,0.998
0.410978731,-0.0274,0.9802,0.1859,0.998
0.412940769,-0.0254,0.9809,0.1886,0.999
0.414929384,-0.0259,0.9802,0.1913,0.999
0.416740308,-0.0254,0.9799,0.1930,0.999
