time,gFx,gFy,gFz,TgF
0.00325323,-0.0086,1.0019,0.0923,1.006
0.003691654,-0.0066,1.0021,0.0955,1.007
0.003959269,-0.0054,1.0017,0.0970,1.006
0.004204538,-0.0044,1.0009,0.0992,1.006
0.0044335,-0.0032,1.0009,0.1048,1.006
0.004739307,-0.0007,1.0019,0.1075,1.008
0.004978307,0.0017,1.0029,0.1146,1.009
0.006896,0.0037,1.0017,0.1170,1.008
0.010777461,0.0039,1.0017,0.1241,1.009
0.011287384,0.0061,1.0017,0.1285,1.010
0.013947654,0.0064,1.0014,0.1309,1.010
0.014997269,0.0064,0.9977,0.1358,1.007
0.016888077,0.0081,0.9958,0.1397,1.006
0.019119846,0.0100,0.9963,0.1415,1.006
0.020534423,0.0098,0.9955,0.1439,1.006
0.022541423,0.0107,0.9938,0.1446,1.004
0.028202615,0.0137,0.9929,0.1476,1.004
0.028799154,0.0149,0.9914,0.1456,1.002
0.02910223,0.0149,0.9912,0.1466,1.002
0.033451077,0.0151,0.9880,0.1461,0.999
0.03388673,0.0169,0.9848,0.1451,0.996
0.034342461,0.0183,0.9843,0.1454,0.995
0.037154115,0.0186,0.9814,0.1454,0.992
0.038423615,0.0198,0.9809,0.1463,0.992
0.040468077,0.0191,0.9802,0.1454,0.991
0.043560692,0.0198,0.9770,0.1456,0.988
0.044559115,0.0193,0.9767,0.1454,0.988
0.046436461,0.0178,0.9767,0.1456,0.988
0.048457154,0.0191,0.9765,0.1449,0.987
0.050212115,0.0178,0.9765,0.1456,0.987
0.052220961,0.0164,0.9770,0.1473,0.988
0.054130423,0.0171,0.9762,0.1473,0.987
0.056272192,0.0159,0.9762,0.1498,0.988
0.059221961,0.0139,0.9775,0.1493,0.989
0.061125384,0.0127,0.9775,0.1495,0.989
0.062028692,0.0112,0.9787,0.1483,0.990
0.064095923,0.0112,0.9782,0.1493,0.990
0.066047961,0.0117,0.9780,0.1498,0.989
0.068134423,0.0100,0.9782,0.1512,0.990
