time,gFx,gFy,gFz,TgF
0.005487346,0.0142,0.9941,-0.0071,0.994
0.006136231,0.0139,0.9933,-0.0022,0.993
0.006583116,0.0144,0.9931,0.0000,0.993
0.007021577,0.0147,0.9938,0.0054,0.994
0.00736,0.0144,0.9946,0.0071,0.995
0.0077665,0.0142,0.9941,0.0081,0.994
0.008075846,0.0156,0.9912,0.0095,0.991
0.008336616,0.0159,0.9902,0.0100,0.990
0.008606077,0.0156,0.9916,0.0103,0.992
0.008973,0.0171,0.9938,0.0105,0.994
0.009290039,0.0169,0.9953,0.0110,0.996
0.009600577,0.0183,0.9951,0.0100,0.995
0.012203846,0.0193,0.9953,0.0103,0.996
0.013615616,0.0166,0.9973,0.0103,0.997
0.015962385,0.0186,0.9963,0.0093,0.996
0.017613616,0.0188,0.9963,0.0083,0.996
0.019640539,0.0193,0.9965,0.0086,0.997
0.021515923,0.0181,0.9975,0.0086,0.998
0.023881039,0.0178,0.9985,0.0088,0.999
0.0255815,0.0195,1.0009,0.0095,1.001
0.029860616,0.0198,1.0014,0.0081,1.002
0.030434962,0.0208,1.0036,0.0068,1.004
0.031437423,0.0210,1.0051,0.0083,1.005
0.033452846,0.0200,1.0053,0.0076,1.006
0.035388231,0.0205,1.0034,0.0083,1.004
0.037468077,0.0203,1.0029,0.0086,1.003
0.039327692,0.0203,1.0036,0.0086,1.004
0.041288423,0.0215,1.0031,0.0083,1.003
0.043370346,0.0215,1.0029,0.0095,1.003
0.047232192,0.0217,1.0031,0.0100,1.003
0.047826616,0.0217,1.0017,0.0098,1.002
0.049209577,0.0225,1.0004,0.0090,1.001
0.051228423,0.0232,0.9995,0.0083,1.000
0.053182231,0.0249,0.9987,0.0086,0.999
0.055273692,0.0252,0.9997,0.0076,1.000
0.057114923,0.0247,0.9977,0.0054,0.998
0.059122385,0.0257,0.9973,0.0056,0.998
0.061695539,0.0254,0.9968,0.0042,0.997
0.063047192,0.0264,0.9960,0.0029,0.996
0.064961846,0.0261,0.9946,0.0020,0.995
0.069299731,0.0259,0.9946,0.0007,0.995
0.069839385,0.0259,0.9943,-0.0010,0.995
0.070925039,0.0227,0.9931,-0.0022,0.993
0.072850154,0.0213,0.9953,-0.0027,0.996
0.074811,0.0227,0.9955,-0.0020,0.996
0.077047231,0.0237,0.9941,-0.0012,0.994
0.078870692,0.0237,0.9941,-0.0010,0.994
0.080788269,0.0225,0.9933,-0.0015,0.994
0.082869962,0.0230,0.9931,0.0000,0.993
0.084744539,0.0227,0.9929,0.0002,0.993
0.086691192,0.0227,0.9921,0.0017,0.992
0.088663731,0.0222,0.9914,0.0020,0.992
0.090620269,0.0208,0.9902,0.0010,0.990
0.092575192,0.0220,0.9912,0.0007,0.991
0.103896,0.0220,0.9916,0.0002,0.992
0.104502616,0.0230,0.9916,0.0022,0.992
0.104825577,0.0227,0.9912,0.0027,0.991
0.105101731,0.0213,0.9912,0.0024,0.991
0.105383192,0.0205,0.9916,0.0034,0.992
0.105636116,0.0217,0.9921,0.0042,0.992
0.106305731,0.0198,0.9924,0.0049,0.993
0.108298116,0.0208,0.9926,0.0044,0.993
0.110409385,0.0222,0.9926,0.0037,0.993
0.112361308,0.0217,0.9938,0.0056,0.994
0.114401577,0.0220,0.9955,0.0059,0.996
0.116243308,0.0200,0.9970,0.0061,0.997
0.118090577,0.0215,0.9960,0.0066,0.996
0.120092077,0.0210,0.9960,0.0068,0.996
0.122224885,0.0213,0.9951,0.0090,0.995
0.124006077,0.0230,0.9968,0.0088,0.997
0.125892154,0.0237,0.9977,0.0088,0.998
0.130823846,0.0225,0.9987,0.0088,0.999
0.131424423,0.0222,0.9992,0.0098,1.000
0.131925154,0.0242,1.0012,0.0098,1.002
0.133930615,0.0249,1.0021,0.0110,1.003
0.136010962,0.0247,1.0021,0.0120,1.003
0.137744154,0.0242,1.0007,0.0098,1.001
0.139803539,0.0249,1.0014,0.0095,1.002
0.141775192,0.0259,1.0017,0.0100,1.002
0.143819423,0.0249,1.0019,0.0105,1.002
0.146055923,0.0249,1.0017,0.0107,1.002
0.147672577,0.0242,1.0017,0.0076,1.002
0.149744692,0.0244,1.0026,0.0056,1.003
0.151564154,0.0249,1.0021,0.0051,1.002
0.154176231,0.0264,1.0019,0.0042,1.002
0.155398962,0.0259,1.0019,0.0022,1.002
0.157472692,0.0269,1.0014,0.0005,1.002
0.159342577,0.0269,1.0014,-0.0017,1.002
0.162161346,0.0269,1.0024,-0.0029,1.003
