time,gFx,gFy,gFz,TgF
0.003629846,0.2460,0.9552,0.0139,0.987
0.004147192,0.2482,0.9516,0.0296,0.984
0.004417846,0.2519,0.9482,0.0608,0.983
0.004663962,0.2531,0.9474,0.0762,0.984
0.004891116,0.2543,0.9452,0.1058,0.985
0.005128231,0.2541,0.9425,0.1344,0.985
0.005412,0.2531,0.9428,0.1473,0.987
0.005656923,0.2499,0.9416,0.1722,0.989
0.005912731,0.2426,0.9416,0.1937,0.991
0.006143539,0.2384,0.9445,0.2035,0.995
0.006374269,0.2299,0.9474,0.2199,0.999
0.006606346,0.2260,0.9484,0.2284,1.001
0.006841039,0.2182,0.9504,0.2399,1.004
0.007059616,0.2103,0.9538,0.2487,1.008
0.007292154,0.2072,0.9547,0.2521,1.009
0.009786116,0.2013,0.9560,0.2573,1.010
0.011064923,0.1998,0.9562,0.2575,1.010
0.014958808,0.1986,0.9569,0.2546,1.010
0.015531077,0.1923,0.9574,0.2460,1.007
0.017120154,0.1906,0.9577,0.2431,1.006
0.019052077,0.1896,0.9584,0.2340,1.005
0.020920846,0.1862,0.9589,0.2199,1.001
0.022922231,0.1852,0.9587,0.2128,0.999
0.024843462,0.1835,0.9601,0.1994,0.998
0.030852731,0.1835,0.9599,0.1854,0.995
0.031383539,0.1847,0.9609,0.1779,0.994
0.031666192,0.1859,0.9626,0.1634,0.994
0.033544577,0.1864,0.9623,0.1571,0.993
0.034686423,0.1859,0.9609,0.1432,0.989
0.036568308,0.1874,0.9609,0.1295,0.987
0.038766115,0.1864,0.9609,0.1241,0.987
0.040619308,0.1901,0.9601,0.1156,0.986
0.042511846,0.1913,0.9604,0.1112,0.986
0.046705192,0.1940,0.9601,0.1060,0.985
0.047260231,0.1979,0.9587,0.1019,0.984
0.052511423,0.1996,0.9574,0.1007,0.983
0.053015346,0.2028,0.9562,0.1009,0.983
0.053371731,0.2062,0.9557,0.0994,0.983
0.054324,0.2089,0.9535,0.1002,0.981
0.056214154,0.2116,0.9518,0.1036,0.981
0.058143846,0.2116,0.9518,0.1058,0.981
0.061446577,0.2138,0.9508,0.1102,0.981
0.062515269,0.2157,0.9494,0.1148,0.980
0.064201154,0.2162,0.9494,0.1175,0.981
0.066471462,0.2147,0.9501,0.1217,0.982
0.068082115,0.2145,0.9501,0.1302,0.983
0.070196731,0.2152,0.9506,0.1324,0.984
0.072123269,0.2152,0.9491,0.1380,0.983
0.074,0.2155,0.9491,0.1417,0.984
0.075962,0.2169,0.9489,0.1476,0.984
0.0786225,0.2182,0.9479,0.1510,0.984
0.080046731,0.2182,0.9469,0.1524,0.984
0.082276154,0.2201,0.9450,0.1566,0.983
0.083918231,0.2201,0.9435,0.1581,0.982
0.085877115,0.2196,0.9450,0.1603,0.983
0.087839077,0.2184,0.9438,0.1610,0.982
0.089777115,0.2184,0.9435,0.1617,0.982
0.091633231,0.2204,0.9442,0.1605,0.983
0.094850115,0.2231,0.9423,0.1610,0.982
