time,gFx,gFy,gFz,TgF
0.002845308,-0.0425,0.9868,0.1151,0.994
0.003276192,-0.0423,0.9860,0.1148,0.994
0.003509308,-0.0391,0.9860,0.1131,0.993
0.003744269,-0.0366,0.9858,0.1134,0.993
0.003975269,-0.0371,0.9850,0.1134,0.992
0.004209962,-0.0362,0.9853,0.1138,0.993
0.004432462,-0.0359,0.9853,0.1134,0.992
0.007364539,-0.0330,0.9853,0.1141,0.992
0.007886808,-0.0325,0.9846,0.1165,0.992
0.008920692,-0.0322,0.9848,0.1160,0.992
0.011055846,-0.0308,0.9863,0.1143,0.993
0.012904769,-0.0305,0.9868,0.1146,0.994
0.014765192,-0.0300,0.9863,0.1148,0.993
0.016839692,-0.0276,0.9848,0.1163,0.992
0.018723923,-0.0288,0.9838,0.1160,0.991
0.020696039,-0.0313,0.9843,0.1153,0.992
0.025058731,-0.0322,0.9843,0.1160,0.992
0.025601231,-0.0320,0.9838,0.1160,0.991
0.026648077,-0.0332,0.9848,0.1175,0.992
0.028927423,-0.0322,0.9855,0.1168,0.993
0.030603808,-0.0300,0.9858,0.1156,0.993
0.033328923,-0.0303,0.9863,0.1165,0.994
0.034490846,-0.0313,0.9865,0.1168,0.994
0.036525308,-0.0313,0.9877,0.1168,0.995
0.039796692,-0.0305,0.9890,0.1163,0.996
0.040603692,-0.0298,0.9890,0.1165,0.996
0.042561923,-0.0318,0.9892,0.1163,0.997
0.044549462,-0.0310,0.9894,0.1156,0.997
0.046606962,-0.0310,0.9897,0.1163,0.997
0.049452346,-0.0308,0.9907,0.1175,0.998
0.050465769,-0.0322,0.9909,0.1173,0.998
0.053597769,-0.0320,0.9899,0.1180,0.997
0.054437231,-0.0293,0.9921,0.1185,1.000
0.066421154,-0.0308,0.9916,0.1185,0.999
0.067016115,-0.0300,0.9912,0.1202,0.999
0.067306577,-0.0303,0.9921,0.1192,1.000
0.067582077,-0.0303,0.9916,0.1207,0.999
0.067855231,-0.0283,0.9924,0.1212,1.000
0.068121192,-0.0288,0.9924,0.1226,1.000
0.068378385,-0.0286,0.9938,0.1244,1.002
0.070125769,-0.0293,0.9926,0.1251,1.001
0.072689,-0.0288,0.9916,0.1287,1.000
0.075641692,-0.0279,0.9921,0.1287,1.001
0.081140731,-0.0274,0.9924,0.1283,1.001
0.082291039,-0.0298,0.9929,0.1273,1.001
0.082993077,-0.0279,0.9921,0.1229,1.000
0.083465231,-0.0276,0.9929,0.1202,1.000
0.083866077,-0.0274,0.9916,0.1146,0.999
0.0858075,-0.0269,0.9907,0.1124,0.997
0.087931269,-0.0276,0.9914,0.1104,0.998
0.098274154,-0.0283,0.9919,0.1073,0.998
0.098890808,-0.0291,0.9909,0.1058,0.997
0.099199615,-0.0300,0.9904,0.1007,0.996
0.099459808,-0.0303,0.9907,0.0904,0.995
0.099705,-0.0303,0.9916,0.0848,0.996
0.099964846,-0.0308,0.9933,0.0777,0.997
0.101712577,-0.0315,0.9929,0.0762,0.996
0.103636077,-0.0330,0.9904,0.0809,0.994
0.106619654,-0.0332,0.9902,0.0928,0.995
0.108750615,-0.0337,0.9912,0.1024,0.997
0.109540346,-0.0313,0.9899,0.1212,0.998
0.111597923,-0.0293,0.9907,0.1292,0.999
0.113542192,-0.0271,0.9894,0.1424,1.000
0.115532077,-0.0242,0.9897,0.1532,1.002
0.117463846,-0.0225,0.9890,0.1544,1.001
0.119383539,-0.0186,0.9914,0.1549,1.004
0.125159615,-0.0164,0.9943,0.1520,1.006
0.125699154,-0.0151,0.9948,0.1502,1.006
0.125993,-0.0115,0.9933,0.1463,1.004
0.127439077,-0.0112,0.9938,0.1424,1.004
0.129383962,-0.0103,0.9965,0.1339,1.006
0.131334539,-0.0110,0.9973,0.1251,1.005
0.133337039,-0.0117,0.9973,0.1224,1.005
0.135390192,-0.0137,0.9965,0.1178,1.004
0.137411192,-0.0154,0.9958,0.1141,1.002
0.147708846,-0.0173,0.9968,0.1136,1.003
0.148243231,-0.0217,0.9973,0.1102,1.004
0.148536846,-0.0235,0.9975,0.1070,1.003
0.148788423,-0.0239,0.9975,0.0975,1.003
0.149029192,-0.0264,0.9948,0.0882,0.999
0.149289192,-0.0279,0.9946,0.0845,0.999
0.151152885,-0.0286,0.9941,0.0792,0.998
0.153114808,-0.0288,0.9916,0.0777,0.995
