time,gFx,gFy,gFz,TgF
0.0050955,0.0992,1.0083,0.0843,1.017
0.005546116,0.0987,1.0061,0.0809,1.014
0.005840885,0.0967,1.0046,0.0779,1.012
0.006131424,0.0965,1.0041,0.0767,1.012
0.006390385,0.0926,1.0017,0.0748,1.009
0.006661193,0.0897,0.9999,0.0745,1.007
0.006904193,0.0853,0.9973,0.0740,1.004
0.007150539,0.0809,0.9951,0.0740,1.001
0.009739885,0.0794,0.9933,0.0748,0.999
0.010345847,0.0767,0.9912,0.0735,0.997
0.011913154,0.0728,0.9887,0.0750,0.994
0.0138135,0.0713,0.9877,0.0760,0.993
0.015783731,0.0662,0.9858,0.0779,0.991
0.017837808,0.0640,0.9843,0.0804,0.990
0.019531924,0.0601,0.9802,0.0833,0.986
0.021529962,0.0584,0.9780,0.0865,0.984
0.026925808,0.0562,0.9772,0.0892,0.983
0.027479885,0.0523,0.9750,0.0950,0.981
0.027861385,0.0503,0.9748,0.0972,0.981
0.032061,0.0452,0.9731,0.1043,0.980
0.032583654,0.0447,0.9711,0.1124,0.979
0.033519654,0.0445,0.9711,0.1156,0.979
0.03532427,0.0445,0.9697,0.1224,0.978
0.037235962,0.0462,0.9684,0.1309,0.978
0.039155116,0.0479,0.9682,0.1341,0.979
0.04223977,0.0486,0.9675,0.1402,0.979
0.043430077,0.0489,0.9675,0.1444,0.979
0.045235347,0.0530,0.9675,0.1532,0.981
0.047157693,0.0550,0.9694,0.1615,0.984
0.049246654,0.0557,0.9699,0.1649,0.985
0.05113427,0.0603,0.9692,0.1700,0.986
0.053069385,0.0630,0.9697,0.1759,0.987
0.055197885,0.0638,0.9701,0.1783,0.988
0.065521924,0.0684,0.9697,0.1808,0.989
0.066171847,0.0694,0.9701,0.1830,0.990
0.066497462,0.0745,0.9714,0.1869,0.992
0.066767,0.0784,0.9728,0.1903,0.994
0.067019962,0.0809,0.9733,0.1906,0.995
0.067272924,0.0853,0.9760,0.1935,0.999
0.068982077,0.0901,0.9767,0.1954,1.000
0.070991808,0.0928,0.9762,0.1967,1.000
0.073890885,0.0980,0.9750,0.1976,1.000
0.076133693,0.1026,0.9755,0.1979,1.001
0.076943462,0.1048,0.9765,0.1984,1.002
0.079140039,0.1097,0.9748,0.1969,1.001
0.081311077,0.1119,0.9748,0.1964,1.001
0.08291027,0.1163,0.9775,0.1942,1.003
0.084821424,0.1209,0.9762,0.1930,1.002
0.087102924,0.1224,0.9762,0.1928,1.003
0.088941885,0.1253,0.9762,0.1893,1.002
0.091306308,0.1261,0.9770,0.1864,1.003
0.092694808,0.1268,0.9765,0.1842,1.002
0.094849154,0.1278,0.9775,0.1820,1.002
0.096819962,0.1283,0.9770,0.1803,1.002
0.098620923,0.1297,0.9765,0.1757,1.001
0.1006375,0.1292,0.9770,0.1725,1.000
0.102511,0.1300,0.9775,0.1710,1.001
0.104656885,0.1290,0.9787,0.1661,1.001
0.108027077,0.1256,0.9782,0.1647,1.000
0.10864427,0.1241,0.9780,0.1625,0.999
0.110515423,0.1226,0.9777,0.1590,0.998
0.112953847,0.1224,0.9772,0.1568,0.997
0.114494423,0.1202,0.9804,0.1546,1.000
0.11644077,0.1180,0.9819,0.1512,1.000
0.118511923,0.1170,0.9828,0.1493,1.001
0.120425462,0.1143,0.9824,0.1461,1.000
0.122292962,0.1141,0.9816,0.1454,0.999
0.124914923,0.1138,0.9826,0.1449,1.000
0.126282693,0.1124,0.9833,0.1402,1.000
0.1285335,0.1099,0.9826,0.1388,0.998
0.130280654,0.1090,0.9833,0.1363,0.999
0.132277693,0.1085,0.9855,0.1339,1.000
0.134213462,0.1077,0.9850,0.1327,1.000
0.136283385,0.1065,0.9872,0.1322,1.002
0.138081923,0.1038,0.9880,0.1295,1.002
0.141516423,0.1038,0.9875,0.1285,1.001
0.142786654,0.1014,0.9855,0.1280,0.999
0.144236193,0.1009,0.9865,0.1270,1.000
0.146061577,0.1002,0.9870,0.1290,1.000
0.148030885,0.0994,0.9875,0.1285,1.001
0.149925731,0.0977,0.9877,0.1278,1.001
0.152186847,0.0985,0.9897,0.1290,1.003
0.153824923,0.0980,0.9892,0.1292,1.002
0.155909808,0.0985,0.9892,0.1295,1.002
0.167056462,0.0999,0.9904,0.1317,1.004
0.168011577,0.1004,0.9914,0.1339,1.005
0.168493462,0.1014,0.9931,0.1344,1.007
0.168849462,0.1031,0.9929,0.1373,1.008
0.16917027,0.1024,0.9924,0.1393,1.007
0.16950127,0.1036,0.9943,0.1437,1.010
0.169896577,0.1004,0.9941,0.1473,1.010
0.171743962,0.1014,0.9941,0.1493,1.010
0.17524777,0.1014,0.9941,0.1517,1.011
0.176515385,0.1007,0.9941,0.1568,1.011
0.177547462,0.1004,0.9943,0.1588,1.012
0.184367385,0.1009,0.9943,0.1622,1.013
0.185035231,0.1019,0.9943,0.1644,1.013
0.185564347,0.1019,0.9948,0.1698,1.014
0.185995962,0.1009,0.9943,0.1761,1.015
0.187304847,0.0994,0.9943,0.1781,1.015
0.189328231,0.1014,0.9931,0.1823,1.015
0.204621347,0.1011,0.9936,0.1835,1.015
0.205924423,0.0994,0.9938,0.1879,1.016
0.206415116,0.0985,0.9936,0.1918,1.017
0.206808808,0.0980,0.9936,0.1935,1.017
0.207567846,0.0967,0.9936,0.1964,1.017
0.208103,0.0936,0.9938,0.1981,1.018
0.208527885,0.0931,0.9943,0.2013,1.019
0.208911346,0.0921,0.9953,0.2020,1.020
0.209291116,0.0919,0.9955,0.2016,1.020
0.212127193,0.0901,0.9958,0.2018,1.020
0.212891116,0.0875,0.9953,0.2018,1.019
0.213302846,0.0858,0.9953,0.2016,1.019
0.215141962,0.0838,0.9960,0.2003,1.019
0.216951385,0.0811,0.9955,0.1996,1.019
0.219737731,0.0779,0.9951,0.1962,1.017
0.220609,0.0752,0.9958,0.1945,1.017
0.222724539,0.0735,0.9955,0.1935,1.017
0.225428885,0.0677,0.9963,0.1906,1.017
0.227640539,0.0630,0.9948,0.1874,1.014
0.230592039,0.0616,0.9948,0.1845,1.014
