time,gFx,gFy,gFz,TgF
0.004663116,0.1143,0.9736,0.0142,0.980
0.005097693,0.1151,0.9738,0.0178,0.981
0.005359077,0.1146,0.9750,0.0244,0.982
0.005618577,0.1165,0.9777,0.0286,0.985
0.00587927,0.1173,0.9784,0.0327,0.986
0.006120808,0.1143,0.9794,0.0357,0.987
0.008382885,0.1148,0.9799,0.0364,0.987
0.009360385,0.1156,0.9821,0.0398,0.990
0.019612962,0.1146,0.9836,0.0454,0.991
0.020158693,0.1141,0.9858,0.0464,0.993
0.020437962,0.1156,0.9872,0.0491,0.995
0.020674962,0.1160,0.9892,0.0528,0.997
0.020911346,0.1163,0.9904,0.0533,0.999
0.021161462,0.1180,0.9912,0.0533,1.000
0.0231085,0.1207,0.9907,0.0552,1.000
0.025130308,0.1222,0.9914,0.0581,1.001
0.027416577,0.1253,0.9933,0.0603,1.003
0.035698846,0.1278,0.9941,0.0608,1.004
0.036192962,0.1283,0.9943,0.0625,1.005
0.036438769,0.1300,0.9943,0.0638,1.005
0.036679269,0.1309,0.9941,0.0650,1.005
0.036909654,0.1327,0.9970,0.0657,1.008
0.038840693,0.1361,0.9975,0.0660,1.009
0.040952308,0.1368,0.9970,0.0665,1.009
0.042781731,0.1368,0.9955,0.0650,1.007
0.0517415,0.1375,0.9953,0.0652,1.007
0.052230154,0.1397,0.9953,0.0645,1.007
0.052474654,0.1400,0.9968,0.0638,1.009
0.052717193,0.1400,0.9977,0.0643,1.010
0.052951962,0.1393,0.9973,0.0628,1.009
0.055350231,0.1410,0.9973,0.0603,1.009
0.056613654,0.1400,0.9975,0.0596,1.009
0.058692654,0.1405,0.9973,0.0594,1.009
0.068709731,0.1402,0.9975,0.0586,1.009
0.069205116,0.1402,0.9987,0.0581,1.010
0.069449885,0.1388,0.9987,0.0557,1.010
0.069688154,0.1378,0.9990,0.0542,1.010
0.069916616,0.1351,0.9982,0.0513,1.009
0.070631385,0.1336,0.9977,0.0467,1.008
0.0725255,0.1331,0.9965,0.0447,1.006
0.074597923,0.1314,0.9963,0.0381,1.006
0.076520116,0.1312,0.9960,0.0344,1.005
0.113296539,0.1300,0.9960,0.0283,1.005
0.113994346,0.1287,0.9951,0.0213,1.004
0.114377885,0.1290,0.9943,0.0171,1.003
0.114666,0.1278,0.9921,0.0100,1.000
0.114948346,0.1278,0.9907,0.0081,0.999
0.115214769,0.1273,0.9899,0.0034,0.998
0.115471616,0.1261,0.9899,-0.0022,0.998
0.115744885,0.1268,0.9892,-0.0039,0.997
0.116026039,0.1285,0.9887,-0.0068,0.997
0.116279577,0.1285,0.9882,-0.0100,0.997
