time,gFx,gFy,gFz,TgF
0.005542346,-0.0999,1.0153,0.0596,1.022
0.006248769,-0.1004,1.0161,0.0616,1.023
0.006537346,-0.0989,1.0158,0.0647,1.023
0.006804115,-0.0977,1.0158,0.0684,1.023
0.007059654,-0.0972,1.0156,0.0704,1.023
0.007353039,-0.0938,1.0144,0.0752,1.021
0.007613808,-0.0943,1.0144,0.0792,1.022
0.007880346,-0.0941,1.0151,0.0794,1.023
0.016806308,-0.0916,1.0146,0.0828,1.022
0.017359269,-0.0911,1.0139,0.0850,1.022
0.017633962,-0.0909,1.0107,0.0877,1.019
0.017932269,-0.0904,1.0073,0.0877,1.015
0.018181731,-0.0897,1.0063,0.0892,1.014
0.021051077,-0.0892,1.0031,0.0914,1.011
0.021672692,-0.0909,1.0012,0.0950,1.010
0.023632346,-0.0897,1.0004,0.0953,1.009
0.027509885,-0.0887,0.9980,0.0982,1.007
0.028135,-0.0870,0.9965,0.0997,1.005
0.029847077,-0.0865,0.9921,0.0997,1.001
0.031636192,-0.0877,0.9890,0.1026,0.998
0.033748962,-0.0880,0.9882,0.1024,0.997
0.036635923,-0.0909,0.9860,0.1029,0.996
0.037736269,-0.0919,0.9850,0.1060,0.995
0.039637385,-0.0926,0.9846,0.1065,0.995
0.048022923,-0.0914,0.9838,0.1080,0.994
0.048692731,-0.0914,0.9836,0.1092,0.994
0.049388115,-0.0909,0.9809,0.1116,0.991
0.049798769,-0.0936,0.9794,0.1114,0.990
0.050290885,-0.0960,0.9797,0.1114,0.991
0.051448539,-0.0975,0.9782,0.1151,0.990
0.053475039,-0.0972,0.9750,0.1175,0.987
0.055323,-0.0977,0.9743,0.1185,0.986
0.057340692,-0.0999,0.9736,0.1180,0.986
0.060971462,-0.1011,0.9736,0.1195,0.986
0.061615154,-0.1019,0.9736,0.1195,0.986
0.063418577,-0.1031,0.9753,0.1202,0.988
0.065229808,-0.1031,0.9755,0.1209,0.988
0.067251692,-0.1036,0.9762,0.1212,0.989
0.069184615,-0.1068,0.9765,0.1217,0.990
0.071127423,-0.1077,0.9777,0.1219,0.991
0.073186654,-0.1102,0.9787,0.1217,0.992
0.076150308,-0.1116,0.9819,0.1187,0.995
0.077183385,-0.1129,0.9819,0.1182,0.995
0.078949154,-0.1163,0.9826,0.1156,0.996
0.080969731,-0.1170,0.9819,0.1148,0.995
0.083006808,-0.1168,0.9841,0.1131,0.997
0.084938885,-0.1180,0.9853,0.1116,0.999
0.086757308,-0.1182,0.9855,0.1109,0.999
0.088732731,-0.1182,0.9846,0.1080,0.997
0.090826269,-0.1180,0.9858,0.1055,0.998
0.095632462,-0.1175,0.9860,0.1046,0.998
0.0962735,-0.1178,0.9850,0.1026,0.997
0.096639808,-0.1178,0.9846,0.1016,0.997
0.0987985,-0.1175,0.9836,0.0992,0.996
0.101733,-0.1160,0.9826,0.0980,0.994
0.102969192,-0.1170,0.9826,0.0960,0.994
0.104784808,-0.1173,0.9816,0.0958,0.993
0.106767077,-0.1163,0.9816,0.0941,0.993
0.113704385,-0.1146,0.9814,0.0943,0.993
0.114532192,-0.1109,0.9809,0.0963,0.992
0.114942423,-0.1099,0.9802,0.0960,0.991
0.115275962,-0.1068,0.9784,0.0955,0.989
0.116498615,-0.1019,0.9789,0.0985,0.989
0.118359462,-0.1033,0.9802,0.0992,0.991
0.120307654,-0.1075,0.9809,0.1033,0.992
0.122456192,-0.1077,0.9814,0.1053,0.993
0.124303808,-0.1068,0.9819,0.1070,0.993
0.126488846,-0.1041,0.9833,0.1121,0.995
0.128496,-0.1036,0.9843,0.1153,0.996
0.130401885,-0.0999,0.9843,0.1187,0.996
0.132253231,-0.0960,0.9850,0.1246,0.998
0.134243769,-0.0950,0.9860,0.1251,0.998
0.136134423,-0.0914,0.9853,0.1319,0.998
0.138129615,-0.0889,0.9848,0.1358,0.998
0.140054231,-0.0892,0.9846,0.1388,0.998
0.142976154,-0.0887,0.9836,0.1441,0.998
0.144531423,-0.0882,0.9846,0.1463,0.999
