time,gFx,gFy,gFz,TgF
0.005813808,0.0384,0.9870,0.1781,1.004
0.006346192,0.0381,0.9858,0.1837,1.003
0.006650539,0.0391,0.9860,0.1845,1.004
0.006945923,0.0381,0.9865,0.1849,1.004
0.007177116,0.0379,0.9858,0.1830,1.003
0.007415692,0.0359,0.9875,0.1764,1.004
0.007661231,0.0347,0.9882,0.1695,1.003
0.008990539,0.0315,0.9904,0.1561,1.003
0.013063385,0.0283,0.9931,0.1515,1.005
0.013587692,0.0230,0.9946,0.1444,1.005
0.014896308,0.0186,0.9982,0.1351,1.008
0.016743077,0.0151,0.9997,0.1300,1.008
0.018868923,0.0059,1.0026,0.1178,1.010
0.020777731,-0.0024,1.0061,0.1055,1.012
0.022641192,-0.0064,1.0056,0.1011,1.011
0.024574769,-0.0125,1.0046,0.0933,1.009
0.028388654,-0.0156,1.0051,0.0906,1.009
0.028874346,-0.0171,1.0046,0.0840,1.008
0.030660654,-0.0151,1.0029,0.0806,1.006
0.032633423,-0.0139,1.0024,0.0799,1.006
0.034477923,-0.0105,1.0017,0.0860,1.005
0.036628,-0.0071,1.0004,0.0965,1.005
0.038430385,-0.0042,0.9999,0.1007,1.005
0.040457654,0.0007,0.9970,0.1121,1.003
0.042319462,0.0032,0.9953,0.1173,1.002
0.046211269,0.0073,0.9938,0.1251,1.002
0.046809462,0.0125,0.9919,0.1287,1.000
0.048346,0.0142,0.9909,0.1292,0.999
0.050368,0.0171,0.9907,0.1287,0.999
0.052230154,0.0183,0.9912,0.1266,0.999
0.054245462,0.0200,0.9892,0.1217,0.997
0.056226923,0.0213,0.9899,0.1160,0.997
0.058134616,0.0208,0.9907,0.1119,0.997
0.062600692,0.0176,0.9926,0.1019,0.998
0.063191385,0.0107,0.9946,0.0933,0.999
0.064171539,0.0071,0.9953,0.0899,0.999
0.066299385,0.0012,0.9985,0.0840,1.002
0.068202654,-0.0049,1.0026,0.0779,1.006
0.070097846,-0.0078,1.0034,0.0762,1.006
0.072668654,-0.0127,1.0021,0.0743,1.005
0.074232923,-0.0139,1.0004,0.0726,1.003
0.078344539,-0.0159,1.0014,0.0711,1.004
0.079225731,-0.0164,1.0014,0.0713,1.004
0.079960192,-0.0169,1.0019,0.0704,1.005
0.082105769,-0.0169,1.0014,0.0696,1.004
0.083868231,-0.0151,0.9997,0.0716,1.002
0.085863923,-0.0151,1.0002,0.0726,1.003
0.087713231,-0.0149,1.0002,0.0752,1.003
0.089879885,-0.0144,0.9997,0.0760,1.003
0.091672692,-0.0171,0.9987,0.0811,1.002
0.094154154,-0.0191,0.9960,0.0862,1.000
0.095640115,-0.0203,0.9960,0.0894,1.000
0.097709846,-0.0235,0.9958,0.0960,1.001
0.099782,-0.0279,0.9951,0.1004,1.001
0.101599615,-0.0288,0.9931,0.1107,1.000
0.103625577,-0.0283,0.9912,0.1200,0.999
0.105550962,-0.0298,0.9907,0.1266,0.999
0.107377154,-0.0293,0.9916,0.1371,1.001
0.110513039,-0.0313,0.9921,0.1459,1.003
