time,gFx,gFy,gFz,TgF
0.005769231,-0.1270,0.9633,0.1715,0.987
0.006395308,-0.1327,0.9657,0.1732,0.990
0.006746577,-0.1390,0.9687,0.1757,0.994
0.007088654,-0.1405,0.9701,0.1791,0.996
0.007428346,-0.1393,0.9709,0.1813,0.997
0.007611077,-0.1349,0.9716,0.1852,0.998
0.007784346,-0.1322,0.9714,0.1854,0.998
0.009175231,-0.1236,0.9743,0.1854,0.999
0.013551308,-0.1146,0.9765,0.1888,1.001
0.014618269,-0.1077,0.9775,0.1901,1.002
0.014965961,-0.0953,0.9794,0.1945,1.003
0.017099154,-0.0823,0.9811,0.1959,1.004
0.019044731,-0.0752,0.9838,0.1994,1.007
0.021086077,-0.0635,0.9843,0.2011,1.007
0.022987346,-0.0572,0.9841,0.2016,1.006
0.024953384,-0.0481,0.9826,0.2028,1.004
0.026873346,-0.0406,0.9833,0.2025,1.005
0.037797038,-0.0362,0.9841,0.2035,1.006
0.038377884,-0.0291,0.9838,0.2086,1.006
0.038638538,-0.0257,0.9836,0.2101,1.006
0.038860654,-0.0210,0.9833,0.2135,1.006
0.039072346,-0.0176,0.9814,0.2174,1.005
0.039279731,-0.0156,0.9816,0.2201,1.006
0.040625115,-0.0137,0.9816,0.2245,1.007
0.042584692,-0.0129,0.9806,0.2260,1.006
0.045227577,-0.0120,0.9811,0.2292,1.008
0.0489635,-0.0134,0.9777,0.2328,1.005
0.049496538,-0.0142,0.9775,0.2350,1.005
0.050546615,-0.0161,0.9767,0.2370,1.005
0.052696654,-0.0181,0.9770,0.2367,1.005
0.054924884,-0.0181,0.9760,0.2370,1.005
0.056597346,-0.0186,0.9748,0.2350,1.003
0.058466038,-0.0186,0.9748,0.2333,1.002
0.060854615,-0.0188,0.9736,0.2311,1.001
0.072966231,-0.0183,0.9721,0.2292,0.999
0.073638692,-0.0173,0.9731,0.2277,1.000
0.074057538,-0.0183,0.9716,0.2260,0.998
0.074380808,-0.0176,0.9706,0.2248,0.996
0.074673846,-0.0169,0.9694,0.2216,0.995
0.074949846,-0.0173,0.9694,0.2199,0.994
0.075210308,-0.0169,0.9694,0.2189,0.994
0.077034923,-0.0156,0.9694,0.2184,0.994
0.089228192,-0.0151,0.9677,0.2174,0.992
0.090189961,-0.0151,0.9675,0.2152,0.991
0.090653615,-0.0156,0.9657,0.2138,0.989
0.090982923,-0.0159,0.9657,0.2121,0.989
0.091346384,-0.0159,0.9640,0.2111,0.987
0.091617577,-0.0171,0.9638,0.2106,0.987
0.091876615,-0.0161,0.9628,0.2096,0.985
0.092149923,-0.0166,0.9616,0.2077,0.984
0.093904808,-0.0186,0.9609,0.2057,0.983
0.096277808,-0.0195,0.9635,0.2057,0.985
0.1010245,-0.0203,0.9645,0.2069,0.987
0.102116769,-0.0198,0.9657,0.2057,0.988
0.102534884,-0.0220,0.9672,0.2096,0.990
0.104005846,-0.0237,0.9675,0.2121,0.991
0.105588231,-0.0257,0.9675,0.2145,0.991
0.107776231,-0.0279,0.9670,0.2187,0.992
0.112253461,-0.0296,0.9675,0.2201,0.993
0.112860731,-0.0300,0.9692,0.2194,0.994
0.117011461,-0.0300,0.9704,0.2189,0.995
0.117583423,-0.0322,0.9711,0.2174,0.996
0.117992346,-0.0313,0.9721,0.2179,0.997
0.119732961,-0.0310,0.9726,0.2177,0.997
0.121430577,-0.0300,0.9728,0.2169,0.997
0.123396808,-0.0298,0.9758,0.2167,1.000
0.125276307,-0.0308,0.9767,0.2150,1.001
0.129340884,-0.0303,0.9802,0.2130,1.003
0.130662846,-0.0298,0.9806,0.2125,1.004
0.131108269,-0.0310,0.9809,0.2128,1.004
0.133178384,-0.0322,0.9828,0.2125,1.006
0.135140807,-0.0322,0.9831,0.2118,1.006
0.137108615,-0.0325,0.9836,0.2096,1.006
0.139155154,-0.0335,0.9841,0.2091,1.007
0.142245769,-0.0340,0.9828,0.2077,1.005
0.142994654,-0.0327,0.9821,0.2050,1.004
0.148417615,-0.0327,0.9814,0.2040,1.003
0.149016,-0.0315,0.9804,0.2033,1.002
0.149310807,-0.0305,0.9799,0.2006,1.001
0.150959538,-0.0310,0.9811,0.1998,1.002
0.152836,-0.0291,0.9797,0.1991,1.000
0.156307692,-0.0283,0.9792,0.1981,0.999
0.156836731,-0.0261,0.9765,0.1952,0.996
0.158926077,-0.0259,0.9760,0.1947,0.996
0.160673423,-0.0259,0.9762,0.1925,0.995
0.167582884,-0.0244,0.9755,0.1901,0.994
0.168253961,-0.0230,0.9748,0.1893,0.993
0.168577846,-0.0239,0.9719,0.1891,0.990
0.168830538,-0.0261,0.9706,0.1893,0.989
0.170549692,-0.0254,0.9706,0.1884,0.989
0.172487692,-0.0259,0.9692,0.1876,0.987
0.175021846,-0.0264,0.9679,0.1852,0.986
0.176422231,-0.0261,0.9670,0.1852,0.985
0.179089269,-0.0266,0.9660,0.1869,0.984
0.183380192,-0.0261,0.9648,0.1876,0.983
0.184706231,-0.0252,0.9643,0.1869,0.983
0.185039115,-0.0249,0.9645,0.1891,0.983
0.186455384,-0.0239,0.9640,0.1901,0.983
0.1883345,-0.0227,0.9633,0.1901,0.982
0.190354807,-0.0225,0.9633,0.1903,0.982
0.192193384,-0.0203,0.9640,0.1947,0.984
0.195640731,-0.0178,0.9623,0.1964,0.982
0.196585192,-0.0178,0.9618,0.1976,0.982
0.198584423,-0.0154,0.9618,0.1984,0.982
0.200386615,-0.0149,0.9623,0.1996,0.983
0.202304615,-0.0139,0.9638,0.1996,0.984
0.204052731,-0.0144,0.9650,0.1967,0.985
0.206058731,-0.0147,0.9655,0.1945,0.985
0.207941923,-0.0161,0.9694,0.1920,0.988
0.210025423,-0.0176,0.9723,0.1915,0.991
0.212564884,-0.0188,0.9723,0.1898,0.991
0.217110423,-0.0205,0.9723,0.1864,0.990
0.217642384,-0.0203,0.9731,0.1837,0.990
0.2179025,-0.0217,0.9755,0.1805,0.992
0.219737538,-0.0213,0.9743,0.1791,0.991
0.221807307,-0.0213,0.9738,0.1801,0.991
0.223668538,-0.0232,0.9736,0.1835,0.991
0.225667615,-0.0232,0.9731,0.1859,0.991
0.236602923,-0.0225,0.9706,0.1940,0.990
0.237135461,-0.0198,0.9689,0.2064,0.991
0.237353384,-0.0191,0.9687,0.2121,0.992
0.237544038,-0.0161,0.9679,0.2226,0.993
0.237732961,-0.0120,0.9655,0.2299,0.993
0.237984115,-0.0103,0.9648,0.2343,0.993
0.2393825,-0.0090,0.9657,0.2389,0.995
0.241603538,-0.0088,0.9660,0.2399,0.995
0.243287769,-0.0086,0.9655,0.2375,0.994
0.246061577,-0.0095,0.9662,0.2331,0.994
0.2474095,-0.0103,0.9660,0.2301,0.993
