time,gFx,gFy,gFz,TgF
0.003964231,0.0391,0.9870,0.0645,0.990
0.004662116,0.0388,0.9870,0.0655,0.990
0.005154616,0.0381,0.9890,0.0679,0.992
0.005681308,0.0386,0.9902,0.0730,0.994
0.006115885,0.0384,0.9907,0.0740,0.994
0.006400116,0.0393,0.9902,0.0796,0.994
0.006661923,0.0386,0.9899,0.0831,0.994
0.006942923,0.0379,0.9907,0.0911,0.996
0.009292077,0.0386,0.9916,0.0994,0.997
0.010419923,0.0393,0.9914,0.1031,0.998
0.011947616,0.0376,0.9912,0.1109,0.998
0.013808885,0.0342,0.9916,0.1182,0.999
0.016738346,0.0337,0.9926,0.1224,1.001
0.01786127,0.0340,0.9907,0.1307,1.000
0.019828193,0.0332,0.9885,0.1346,0.998
0.021666116,0.0320,0.9892,0.1437,1.000
0.0315355,0.0308,0.9875,0.1502,0.999
0.032169923,0.0310,0.9875,0.1544,1.000
0.032460808,0.0300,0.9877,0.1630,1.002
0.032717539,0.0288,0.9868,0.1669,1.001
0.03295127,0.0264,0.9846,0.1722,1.000
0.033615654,0.0257,0.9850,0.1786,1.001
0.03531977,0.0252,0.9843,0.1823,1.001
0.037197077,0.0252,0.9826,0.1864,1.000
0.041374423,0.0244,0.9826,0.1893,1.001
0.042012,0.0239,0.9824,0.1913,1.001
0.046639616,0.0249,0.9824,0.1945,1.002
0.047238346,0.0254,0.9816,0.1962,1.001
0.047557346,0.0261,0.9809,0.1981,1.001
0.049349923,0.0261,0.9802,0.1989,1.000
0.051199193,0.0271,0.9792,0.1986,0.999
0.053069846,0.0274,0.9792,0.1994,1.000
0.055075346,0.0286,0.9789,0.1994,0.999
0.057522731,0.0303,0.9789,0.1981,0.999
0.059616116,0.0327,0.9782,0.1976,0.999
0.061014693,0.0330,0.9780,0.1945,0.998
0.062818077,0.0325,0.9806,0.1937,1.000
0.065112616,0.0318,0.9804,0.1920,1.000
0.067049539,0.0315,0.9809,0.1901,1.000
0.069008616,0.0330,0.9816,0.1867,1.000
0.07083527,0.0347,0.9831,0.1837,1.001
