time,gFx,gFy,gFz,TgF
0.005106769,0.0858,0.9877,0.0562,0.993
0.005542846,0.0870,0.9870,0.0562,0.992
0.005833654,0.0855,0.9868,0.0567,0.992
0.006063923,0.0867,0.9870,0.0586,0.993
0.006301961,0.0880,0.9875,0.0628,0.993
0.006541461,0.0884,0.9868,0.0638,0.993
0.006791654,0.0892,0.9880,0.0650,0.994
0.014700615,0.0880,0.9870,0.0694,0.993
0.015267808,0.0887,0.9868,0.0694,0.993
0.015559654,0.0875,0.9875,0.0711,0.994
0.015840538,0.0892,0.9875,0.0713,0.994
0.018537808,0.0901,0.9870,0.0733,0.994
0.019017846,0.0904,0.9868,0.0774,0.994
0.020740808,0.0906,0.9865,0.0799,0.994
0.024916461,0.0916,0.9860,0.0804,0.994
0.026569846,0.0931,0.9855,0.0816,0.993
0.027038269,0.0926,0.9855,0.0828,0.993
0.028568384,0.0906,0.9858,0.0843,0.994
0.030546423,0.0919,0.9863,0.0877,0.994
0.032531423,0.0923,0.9868,0.0882,0.995
0.034423154,0.0919,0.9868,0.0897,0.995
0.036325654,0.0916,0.9855,0.0889,0.994
0.048142346,0.0914,0.9855,0.0901,0.994
0.048685923,0.0916,0.9863,0.0887,0.994
0.048945154,0.0911,0.9858,0.0884,0.994
0.049180808,0.0899,0.9853,0.0897,0.993
0.049458077,0.0897,0.9841,0.0897,0.992
0.049758423,0.0897,0.9843,0.0899,0.992
0.050335692,0.0899,0.9831,0.0906,0.991
0.052297923,0.0887,0.9828,0.0892,0.991
0.054273538,0.0887,0.9865,0.0880,0.994
0.056527,0.0889,0.9865,0.0887,0.994
0.060150961,0.0889,0.9863,0.0884,0.994
0.060853538,0.0889,0.9865,0.0870,0.994
0.062407461,0.0867,0.9863,0.0848,0.994
0.064321731,0.0860,0.9855,0.0840,0.993
0.066257308,0.0882,0.9865,0.0823,0.994
0.068115231,0.0882,0.9872,0.0821,0.995
0.070165077,0.0884,0.9858,0.0814,0.993
0.090524154,0.0872,0.9877,0.0814,0.995
0.091470923,0.0875,0.9880,0.0804,0.995
0.091931077,0.0889,0.9880,0.0794,0.995
0.092351307,0.0884,0.9880,0.0774,0.995
0.092678307,0.0889,0.9882,0.0760,0.995
0.092964769,0.0884,0.9870,0.0760,0.994
0.093285423,0.0884,0.9868,0.0762,0.994
0.093728154,0.0901,0.9872,0.0743,0.994
0.094082115,0.0916,0.9872,0.0738,0.994
0.094433846,0.0914,0.9872,0.0730,0.994
0.094748192,0.0919,0.9875,0.0745,0.995
