time,gFx,gFy,gFz,TgF
0.004070308,-0.0955,0.9853,-0.0249,0.990
0.004812692,-0.0960,0.9846,-0.0217,0.989
0.005195,-0.0965,0.9877,-0.0142,0.993
0.005561769,-0.0960,0.9875,-0.0093,0.992
0.005868808,-0.0953,0.9877,0.0012,0.992
0.006173538,-0.0938,0.9890,0.0132,0.993
0.006489846,-0.0926,0.9890,0.0205,0.993
0.006814346,-0.0897,0.9894,0.0354,0.994
0.008225346,-0.0880,0.9887,0.0486,0.994
0.012260385,-0.0882,0.9899,0.0533,0.995
0.013092192,-0.0875,0.9931,0.0655,0.999
0.014101538,-0.0884,0.9929,0.0723,0.999
0.016077846,-0.0862,0.9919,0.0843,0.999
0.017998346,-0.0853,0.9919,0.0950,1.000
0.019872538,-0.0843,0.9919,0.0989,1.000
0.023258538,-0.0821,0.9907,0.1077,1.000
0.024028231,-0.0823,0.9902,0.1104,1.000
0.028920077,-0.0843,0.9907,0.1119,1.001
0.029479577,-0.0838,0.9897,0.1165,1.000
0.029772538,-0.0836,0.9890,0.1178,0.999
0.031697308,-0.0836,0.9877,0.1168,0.998
0.033781385,-0.0794,0.9868,0.1163,0.997
0.035583577,-0.0787,0.9858,0.1163,0.996
0.037583962,-0.0782,0.9831,0.1141,0.993
0.039564923,-0.0767,0.9809,0.1102,0.990
0.041549385,-0.0765,0.9799,0.1080,0.989
0.043558077,-0.0774,0.9789,0.1068,0.988
0.045508077,-0.0777,0.9780,0.1051,0.987
0.047558538,-0.0787,0.9755,0.0992,0.984
0.049407654,-0.0796,0.9738,0.0936,0.982
0.051466308,-0.0796,0.9726,0.0911,0.980
0.0533645,-0.0782,0.9692,0.0867,0.976
0.055329808,-0.0762,0.9677,0.0823,0.974
0.057191538,-0.0774,0.9670,0.0796,0.973
0.059771077,-0.0760,0.9660,0.0762,0.972
0.061383269,-0.0767,0.9665,0.0750,0.972
0.063708962,-0.0774,0.9660,0.0735,0.972
0.065219962,-0.0770,0.9638,0.0726,0.970
0.067185692,-0.0774,0.9640,0.0721,0.970
0.0691605,-0.0789,0.9662,0.0713,0.972
0.070983308,-0.0792,0.9670,0.0718,0.973
0.072996731,-0.0784,0.9689,0.0740,0.975
0.076742615,-0.0774,0.9677,0.0750,0.974
0.077354154,-0.0772,0.9679,0.0762,0.974
0.079215192,-0.0770,0.9709,0.0794,0.977
0.081091423,-0.0774,0.9714,0.0821,0.978
0.082912423,-0.0779,0.9723,0.0840,0.979
0.085163308,-0.0772,0.9758,0.0862,0.983
0.086962115,-0.0774,0.9784,0.0892,0.986
0.088901154,-0.0770,0.9794,0.0904,0.987
0.0956405,-0.0770,0.9838,0.0945,0.991
0.096351654,-0.0782,0.9855,0.0960,0.993
0.096922461,-0.0745,0.9875,0.0985,0.995
0.097405654,-0.0723,0.9909,0.0994,0.999
0.098750923,-0.0721,0.9907,0.1009,0.998
0.100725961,-0.0718,0.9941,0.1029,1.002
0.102632192,-0.0713,0.9960,0.1046,1.004
0.104480692,-0.0704,0.9973,0.1046,1.005
0.106659846,-0.0706,1.0002,0.1060,1.008
0.110290885,-0.0713,1.0021,0.1073,1.010
0.111057385,-0.0748,1.0065,0.1119,1.015
0.112567077,-0.0760,1.0102,0.1182,1.020
0.114445577,-0.0765,1.0119,0.1204,1.022
0.116437038,-0.0801,1.0153,0.1246,1.026
