time,gFx,gFy,gFz,TgF
0.007310115,-0.0269,0.9912,0.0919,0.996
0.007917808,-0.0254,0.9907,0.0923,0.995
0.008274231,-0.0222,0.9904,0.0955,0.995
0.008631077,-0.0188,0.9899,0.0989,0.995
0.008951692,-0.0149,0.9875,0.1092,0.994
0.009280731,-0.0093,0.9868,0.1197,0.994
0.009693731,-0.0073,0.9868,0.1244,0.995
0.010050077,-0.0076,0.9838,0.1327,0.993
0.010378538,-0.0046,0.9836,0.1393,0.993
0.018114577,-0.0039,0.9836,0.1424,0.994
0.018706115,-0.0037,0.9853,0.1463,0.996
0.019004038,-0.0044,0.9848,0.1473,0.996
0.019254346,-0.0066,0.9831,0.1461,0.994
0.019506192,-0.0129,0.9836,0.1422,0.994
0.020802654,-0.0169,0.9836,0.1397,0.994
0.022649269,-0.0227,0.9821,0.1336,0.991
0.036591423,-0.0269,0.9838,0.1312,0.993
0.037255692,-0.0354,0.9853,0.1266,0.994
0.037655385,-0.0491,0.9887,0.1156,0.997
0.037943346,-0.0589,0.9902,0.0721,0.995
0.038234077,-0.0814,0.9899,-0.0049,0.993
0.038515077,-0.1016,0.9890,-0.0112,0.994
0.038783769,-0.1107,0.9882,-0.0083,0.994
0.039058308,-0.1248,0.9885,0.0086,0.996
0.040619346,-0.1307,0.9894,0.0188,0.998
0.042963077,-0.1441,0.9919,0.0467,1.003
0.044914308,-0.1549,0.9958,0.0757,1.011
0.046647269,-0.1600,0.9955,0.0897,1.012
0.048427269,-0.1683,0.9958,0.1146,1.016
0.050600077,-0.1730,0.9973,0.1375,1.021
0.052248808,-0.1737,0.9975,0.1468,1.023
0.054242269,-0.1722,0.9997,0.1571,1.027
0.056170654,-0.1715,1.0004,0.1600,1.028
0.063092769,-0.1686,1.0021,0.1627,1.029
0.063623808,-0.1610,1.0053,0.1564,1.030
0.063875269,-0.1573,1.0051,0.1546,1.029
0.0643455,-0.1493,1.0063,0.1505,1.028
0.066333462,-0.1432,1.0080,0.1424,1.028
0.068331808,-0.1407,1.0085,0.1390,1.028
0.0703245,-0.1363,1.0056,0.1324,1.023
0.072248923,-0.1336,1.0063,0.1292,1.023
0.074336269,-0.1307,1.0063,0.1244,1.022
0.076272115,-0.1270,1.0056,0.1212,1.021
0.078290731,-0.1261,1.0046,0.1195,1.019
